lang;lab
1;Moldovenească
2;Română
3;Ucraineană
4;Rusă
5;Găgăuză
6;Bulgară
7;Țigănească / Romani
8;Belorusă
9;Germană
10;Poloneză
11;Cehă
12;Armeană
13;Azeră
14;Turcă
15;Arabă
16;Ivrit (Ebraică)
17;Idiș
18;Tătară
19;Gruzină / Georgiană
20;Engleză
21;Italiană
22;Franceză
23;Spaniolă
24;Portugheză
25;Greacă
26;Abazină
27;Abhază
28;Adîgă
29;Afgană / Puștu
30;Agulă
31;Albaneză
32;Altaiană
33;Asiriană
34;Avară
35;Balkară
36;Bască
37;Bașkiră
38;Bosniacă
39;Bureată
40;Catalană
41;Cecenă
42;Cerkesă
43;Chineză
44;Ciukotă
45;Ciuvașă
46;Croată
47;Daneză
48;Darghină
49;Eskimosă
50;Estoniană
51;Evenă
52;Evenkă
53;Finlandeză
54;Hakasă
55;Hantî
56;Iakută / Saha
57;Indoneziană
58;Ingușă
59;Irlandeză
60;Islandeză
61;Japoneză
62;Kabardină
63;Kalmîkă
64;Karaceai
65;Karaimă
66;Karakalpakă
67;Karelă
68;Kazahă
69;Ketă
70;Kîrgîză
71;Komi
72;Komi-Permiakă
73;Koreeană
74;Koriakă
75;Kumîkă
76;Kurdă
77;Lakă
78;Letonă
79;Lezghină
80;Lituaniană
81;Luxemburgheză
82;Macedoneană
83;Malteză
84;Mansi
85;Mari
86;Mongolă
87;Mordvină
88;Nanai
89;Neneță
90;Nganasană
91;Nivhă
92;Nogai
93;Norvegiană
94;Olandeză
95;Osetină
96;Persană
97;Rutulă
98;Saami
99;Scoțiană
100;Selkupă
101;Sîrbă
102;Slovacă
103;Slovenă
104;Suedeză
105;Tabasarană
106;Tadjikă
107;Talîșă
108;Tătară din Crimeea
109;Thailandeză
110;Turkmenă
111;Tuvină
112;Udmurtă
113;Uigură
114;Maghiară
115;Uzbekă
116;Vietnameză
117;Limbi din Asia de Sud
118;Limbi din Africa subsahariană
119;Altă limbă
120;Indecis
121;Nu cunosc
122;Nu declar
