level_education_n;lab
1;fără școală absolvită
2;educație preșcolară
3;primar
4;gimnazial (mediu incomplet)
5;liceal (10-12 clase)/mediu general (10-11 clase)
6;profesional tehnic secundar (școală profesională/meserii, «PTU»)
7;profesional tehnic postsecundar (colegiu, «tehnicum», școală în domeniul medical, farmaceutic, pedagogic și arte finalizate până în 1995)
8;superior universitar finalizat până în 2008
9; superior (ciclul I)/licență
10; superior(ciclul II)/masterat
11;superior(ciclul III)/doctorat, postdoctorat
