"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2004","EE",6,"1","2004","30",1826,1820,0,0,,,,,,0,0,0,0,0,0,,0,6,0,0,"NA","2","2","1","1","1","1","1","1","1","1","4","NA","2","NA","2","1","2","2","1","1","5","2","1","NA","NA","NA","1","1","1",1,,,,,,
"2004","EE",46,"2","2004","25",1553,1489,0,0,,,,,,0,0,0,0,0,0,,0,64,0,0,"NA","2","NA","1","1","1","1","1","1","1","3","3","NA","2","NA","2","1","1","2","3","1","5","1","1","NA","NA","NA","2","2","1",1,,,,,,
"2004","EE",75,"2","2004","30",0,-900,0,0,,,,,,0,0,0,0,0,0,,0,0,319,581,"NA","2","2","1","2","1","1","1","2","1","1","5","NA","2","NA","2","1","2","2","1","1","2","1","1","NA","NA","NA","1","2","1",1,,,,,,
"2004","EE",89,"2","2004","15",1671,1615,0,0,,,,,,0,0,0,0,0,0,,0,0,0,55,"NA","2","NA","1","2","1","1","1","2","NA","1","3","NA","2","2","2","1","1","2","4","1","4","2","1","NA","NA","NA","2","1","1",1,,,,,,
"2004","EE",100,"2","2004","25",1869,1678,0,0,,,,,,0,0,0,0,0,0,,0,101,0,90,"2","1","2","2","2","1","1","1","NA","1","3","4","NA","1","NA","2","2","2","2","1","1","5","2","2","NA","NA","NA","1","1","1",1,,,,,,
"2004","EE",165,"3","2004","15",2575,280,0,0,,,,,,0,0,0,1330,0,0,,0,55,0,2241,"2","2","NA","1","1","2","1","1","1","1","2","3","NA","2","NA","2","2","1","2","4","1","3","1","1","NA","NA","NA","1","1","1",1,,,,,,
"2004","EE",192,"2","2004","45",16057,14778,0,0,,,,,,0,0,0,0,0,0,,0,1279,0,0,"NA","2","2","2","1","1","1","1","1","1","3","4","NA","2","2","2","1","2","2","4","1","3","2","1","NA","NA","NA","1","1","1",1,,,,,,
"2004","EE",204,"2","2004","45",3308,3303,0,0,,,,,,0,0,0,0,0,0,,0,6,0,0,"NA","2","NA","2","1","1","1","1","2","1","1","5","NA","2","1","2","1","2","2","1","1","3","2","1","NA","NA","NA","1","1","1",1,,,,,,
"2004","EE",220,"2","2004","30",263,237,0,0,,,,,,0,0,0,0,0,0,,0,26,0,0,"NA","2","NA","2","1","1","1","1","3","1","1","5","NA","1","NA","2","2","1","2","4","1","3","1","1","NA","NA","NA","1","1","1",1,,,,,,
"2004","EE",228,"1","2004","15",1825,1812,0,0,,,,,,0,0,0,0,0,0,,0,0,0,12,"2","2","NA","2","1","1","1","1","1","1","1","4","NA","2","NA","2","1","2","1","4","2","2","2","1","NA","NA","NA","1","1","1",1,,,,,,
