"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010"
"2004","EE",61,139.830954169797,"NA","2","2004","60","4",1934,"2","2","3","EE","2","NA","2","5","NA","NA","2","NA","3","7","40","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","19","6","1","6","1","6","6","6","1","6","6","3","2","3","1","3","2","NA","2","1",0,281,0,0,0,38,0,0,0,0,1826,0,0,0,0,1,6,"1",69,"4","15.6466"
"2004","EE",461,139.830954169797,"NA","2","2004","74","3",1938,"2","4","3","EE","2","NA","1","5","NA","NA","NA","NA","NA","5","40","0","0","NA","NA","NA","NA","1","2","2","NA","NA","18","1","6","1","5","1","6","6","1","1","6","1","6","3","1","1","2","NA","2","NA",0,281,128,0,0,0,0,0,0,0,1542,0,11,0,0,1,46,"1",65,"3","15.6466"
"2004","EE",751,139.830954169797,"NA","3","2004","20","4",1966,"1",,"1",,"1","NA",,,"NA","2","NA","NA","4",,"NA","0","0","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","8","5","7","7","3","5","5","7","7","5","7","7","2","2","3","2","NA","2","NA",0,0,192,0,0,206,0,0,0,0,0,0,0,0,0,1,75,"1",37,"3","15.6466"
"2004","EE",891,139.830954169797,"NA","3","2004","15","1",1923,"2","1","3","EE","2","NA","1","5","NA","1","2","NA","NA","8","NA","0","0","NA","NA","NA","NA","NA","NA","2","NA","NA","24","1","6","6","1","1","6","1","6","6","1","6","6","2","2","1","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,1671,0,0,0,0,1,89,"1",80,"1","15.6466"
"2004","EE",1001,139.830954169797,"NA","2","2004","35","3",1935,"1","2","1","EE","2","NA","3","5","NA","1","NA","NA","3","8","23","12","0","NA","NA","NA","NA","1","2","NA","NA","NA","19","6","1","1","6","6","1","6","1","6","6","6","1","5","1","3","2","NA","2","NA",0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,1,100,"1",68,"3","15.6466"
"2004","EE",1651,139.830954169797,"NA","3","2004","10","2",1937,"2","2","1","EE","2","NA","3","5","NA","1","2","NA","3","4","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","16","6","6","7","3","6","1","6","6","1","6","4","6","3","1","2","2","NA","2","NA",0,110,16,0,0,0,0,0,0,0,1126,0,0,119,0,1,165,"1",66,"4","15.6466"
"2004","EE",1921,139.830954169797,"NA","2","2004","15","2",1961,"1","NA","3","EE","2","NA","3","1","NA","NA","NA","NA","3","8","40","12","0","NA","i","NA","1","1","2","2","NA","NA","17","7","1","1","1","1","8","1","1","1","1","1","1","2","2","1","2","NA","2","NA",0,0,0,16057,0,0,0,0,0,0,0,0,0,0,0,1,192,"1",42,"1","15.6466"
"2004","EE",2041,139.830954169797,"NA","1","2004","25","4",1934,"1","2","1","EE","2","NA","1","5","NA","NA","NA","1","3","7","40","0","0","NA","NA","NA","13","1","2","2","NA","NA","20","1","1","1","3","1","1","1","1","1","1","1","1","2","1","3","2","NA","2","NA",0,767,0,0,1011,0,2503,256,0,0,765,0,40,0,0,1,204,"1",69,"1","15.6466"
"2004","EE",2201,139.830954169797,"NA","3","2004","15","1",1949,"2","2","1","EE","2","NA","5","3","NA","NA","2","2","3","3","NA","0","12","NA","NA","NA","2","NA","NA","NA","NA","NA","20","4","7","2","6","6","5","8","1","3","6","1","5","2","2","1","1","NA","1","NA",0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,1,220,"1",54,"3","15.6466"
"2004","EE",2281,139.830954169797,"NA","2","2004","30","2",1931,"1","4","1","EE","2","NA","1","5","NA","1","2","NA","NA","6","NA","0","0","NA","NA","NA","NA","NA","NA","2","NA","NA","21","6","6","6","6","1","6","6","2","6","6","6","6","4","2","3","2","8","2","NA",0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,1,228,"1",72,"3","15.6466"
"2004","EE",2481,139.830954169797,"NA","2","2004","25","2",1935,"2","5","3","EE","2","NA","6","1","NA","NA","1","NA","3","2","45","12","0","NA","l-n","NA","13","NA","2","2","NA","NA","20","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,639,5433,0,0,0,0,0,0,2509,0,0,0,0,1,248,"1",68,"3","15.6466"
"2004","EE",2861,139.830954169797,"NA","2","2004","5","4",1927,"2","5","2","EE","2","NA","2","5","NA","1","NA","NA","NA","9","NA","0","0","NA","NA","NA","NA","2","2","2","NA","NA","22","6","1","6","3","6","2","6","6","6","1","1","1","4","2","1","1","NA","2","NA",0,0,128,0,0,0,0,0,0,0,851,0,0,812,0,1,286,"1",76,"4","15.6466"
"2004","EE",3231,139.830954169797,"NA","2","2004","10","2",1951,"1","5","3","EE","2","NA","3","1","NA","NA","NA","NA","3","8","40","7","0","NA","i","NA","4","NA","2","2","NA","NA","18","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","NA","2","NA",0,166,0,6180,0,0,0,0,0,0,0,0,0,0,0,1,323,"1",52,"2","15.6466"
