"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RX030","rl010","rl010_f","rl020","rl020_f","rl030","rl030_f","rl040","rl040_f","rl050","rl050_f","rl060","rl060_f","rl070","rl070_f","RX020","RX010"
"2004","EE",61,139.830954169797,"3",1934,"2","1","1","4","11","1",6,,,,,,,,,,,,,,,69,70
"2004","EE",461,139.830954169797,"4",1938,"2","1","4","1","11","1",46,,,,,,,,,,,,,,,65,66
"2004","EE",751,139.830954169797,"3",1966,"1","1","4","4","11","1",75,,,,,,,,,,,,,,,37,38
"2004","EE",891,139.830954169797,"1",1923,"2","1","4","1","11","NA",89,,,,,,,,,,,,,,,80,80
"2004","EE",1001,139.830954169797,"4",1935,"1","1","1","1","11","NA",100,,,,,,,,,,,,,,,68,69
"2004","EE",1651,139.830954169797,"1",1937,"2","1","2","1","NA","NA",165,,,,,,,,,,,,,,,66,66
"2004","EE",1921,139.830954169797,"3",1961,"1","1","4","1","11","1",192,,,,,,,,,,,,,,,42,42
"2004","EE",2041,139.830954169797,"3",1934,"1","1","3","1","11","NA",204,,,,,,,,,,,,,,,69,69
"2004","EE",2201,139.830954169797,"4",1949,"2","1","4","1","11","4",220,,,,,,,,,,,,,,,54,54
"2004","EE",2281,139.830954169797,"4",1931,"1","1","3","1","11","1",228,,,,,,,,,,,,,,,72,73
"2004","EE",2481,139.830954169797,"1",1935,"2","1","4","1","11","1",248,,,,,,,,,,,,,,,68,68
"2004","EE",2861,139.830954169797,"3",1927,"2","1","1","4","11","NA",286,,,,,,,,,,,,,,,76,77
"2004","EE",3231,139.830954169797,"4",1951,"1","1","1","4","11","1",323,,,,,,,,,,,,,,,52,52
"2004","EE",3831,139.830954169797,"3",1924,"2","1","4","1","NA","1",383,,,,,,,,,,,,,,,79,80
"2004","EE",3881,139.830954169797,"3",1973,"1","1","3","4","NA","NA",388,,,,,,,,,,,,,,,30,31
"2004","EE",4341,139.830954169797,"2",1935,"2","1","1","1","11","NA",434,,,,,,,,,,,,,,,68,68
"2004","EE",4401,139.830954169797,"2",1925,"2","1","4","1","NA","NA",440,,,,,,,,,,,,,,,78,78
"2004","EE",4461,139.830954169797,"3",1933,"1","1","1","4","11","1",446,,,,,,,,,,,,,,,70,71
"2004","EE",4521,139.830954169797,"4",1957,"1","1","1","1","11","1",452,,,,,,,,,,,,,,,46,46
"2004","EE",4541,139.830954169797,"4",1946,"1","1","4","1","11","1",454,,,,,,,,,,,,,,,57,57
"2004","EE",4821,139.830954169797,"3",1979,"2","1","2","1","11","1",482,,,,,,,,,,,,,,,24,24
"2004","EE",4951,139.830954169797,"3",1949,"2","1","2","1","11","1",495,,,,,,,,,,,,,,,54,54
"2004","EE",5081,139.830954169797,"4",1981,"1","1","1","1","11","NA",508,,,,,,,,,,,,,,,22,22
"2004","EE",5161,139.830954169797,"2",1957,"2","1","4","1","22","1",516,,,,,,,,,,,,,,,46,47
"2004","EE",5451,139.830954169797,"4",1928,"2","1","1","4","NA","1",545,,,,,,,,,,,,,,,75,76
"2004","EE",5721,139.830954169797,"4",1934,"1","1","4","4","NA","1",572,,,,,,,,,,,,,,,69,70
"2004","EE",6341,139.830954169797,"4",1944,"2","1","1","1","11","1",634,,,,,,,,,,,,,,,59,60
"2004","EE",6391,139.830954169797,"4",1965,"1","1","1","1","31","1",639,,,,,,,,,,,,,,,38,39
"2004","EE",6461,139.830954169797,"2",1937,"2","1","1","4","11","1",646,,,,,,,,,,,,,,,66,66
"2004","EE",6721,139.830954169797,"1",1927,"2","1","2","1","11","NA",672,,,,,,,,,,,,,,,76,77
"2004","EE",6761,139.830954169797,"1",1974,"1","1","3","1","11","1",676,,,,,,,,,,,,,,,29,29
"2004","EE",6781,139.830954169797,"1",1923,"2","1","4","4","11","NA",678,,,,,,,,,,,,,,,80,80
"2004","EE",6831,139.830954169797,"2",1926,"2","1","1","1","23","NA",683,,,,,,,,,,,,,,,77,77
