"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL110","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PM005","PM010","PM020","PM030","PM035","PM040","PM050","PM060","PM070","PM080","PM090","PM100","PX030","PX040","PX020","PX050","PX010"
"2005","EE",61,133.558407291917,"NA","2","2005","14","2",1933,"2","4","1","EE","2","NA","3","5","NA","NA","2","NA","3","9","30","12","0","NA",,"NA","NA","NA","2","2","NA","NA","17","6","8","7","6","8","6","7","8","7","6","6","2","3","1","3","1","NA","2","1",0,0,1,0,0,0,0,1,0,0,1582,0,0,0,0,1,"NA","NA","NA","1925","NA","NA","NA","NA","NA","NA","92","3",6,"1",71,"3","15.6466"
"2005","EE",461,133.558407291917,"NA","2","2005","33","3",1928,"2","4","3","EE","2","NA","5","5","NA","NA","2","NA","3","4","NA","6","12","NA",,"NA","NA","1","2","2","NA","NA","18","1","6","6","6","6","1","6","1","1","1","6","6","5","2","2","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,2338,0,0,0,0,1,"NA","1","1937","NA","NA","NA","NA","1","83","1","NA","5",46,"1",76,"2","15.6466"
"2005","EE",751,133.558407291917,"NA","2","2005","6","4",1927,"2","4","3","EE","2","NA","1","5","NA","1","2","NA","3","9","40","0","0","NA",,"NA","NA","1","2","NA","NA","NA","19","6","6","8","6","3","3","1","6","6","6","8","7","2","2","1","2","NA","2","1",0,0,1,0,0,0,0,1,0,0,1630,0,0,0,0,1,"NA","1","NA","NA","NA","NA","NA","NA","82","1","NA","NA",75,"1",77,"1","15.6466"
"2005","EE",881,133.558407291917,"NA","2","2005","17","1",1924,"2","4","1","EE","2","NA","1","5","NA","1","NA","NA","3","7","NA","0","0","NA",,"NA","2","2","2","NA","NA","NA","17","1","1","6","6","1","2","6","6","6","2","6","6","2","2","2","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1865,0,0,0,0,1,"150.1948","NA","NA","NA","NA","NA","NA","NA","93","1","NA","5",88,"1",80,"3","15.6466"
"2005","EE",991,133.558407291917,"NA","2","2005","18","3",1949,"2","1","1","EE","2","NA","3","6","NA","2","2","NA","3",,"NA","0","0","NA",,"NA","NA","NA","2","2","NA","NA","19","7","8","8","6","5","6","6","6","6","2","1","6","2","2","1","2","NA","1","NA",0,0,1,0,0,0,0,1,0,0,0,0,0,807,0,1,"175.4787","1","NA","NA","1","NA","4","1","12","NA","NA","NA",99,"1",55,"1","15.6466"
"2005","EE",1641,133.558407291917,"NA","2","2005","23","3",1944,"2","4","1","EE","2","NA","5","1","NA","NA","NA","NA","3","3","30","12","0","NA","k","NA","13","1","2","2","NA","NA","18","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,1,0,0,0,6515,1,0,0,0,0,0,0,0,1,"147.2789","1","1939","NA","1","3","2","NA","12","NA","34","4",164,"1",60,"3","15.6466"
"2005","EE",1921,133.558407291917,"NA","2","2005","29","1",1926,"2","2","1","EE","2","NA","1","5","NA","1","NA","NA","4","6","NA","4","0","NA",,"NA","NA","1","2","NA","NA","NA","20","6","8","6","6","8","5","1","8","6","7","1","8","5","2","1","2","NA","1","NA",0,0,1,0,0,0,0,1,0,0,1622,0,0,0,0,1,"NA","2","NA","NA","NA","NA","NA","NA","NA","NA","92","NA",192,"1",78,"1","15.6466"
"2005","EE",2031,133.558407291917,"NA","2","2005","10","1",1947,"1","2","3","EE","2","NA","4","1","NA","1","NA","NA","3","8","NA","0","12","NA","i","NA","13","1","2","2","NA","NA","17","1","6","1","2","6","6","1","6","6","1","6","1","4","1","1","2","NA","1","1",0,0,1,2097,0,0,0,1,0,0,0,0,0,0,0,1,"222.9981","NA","1934","1930","1","3","3","NA","NA","NA","NA","NA",203,"1",57,"1","15.6466"
"2005","EE",2191,133.558407291917,"NA","3","2005","69","1",1929,"2","4","1","EE","2","NA","3","5","NA","1","2","NA","3","7","NA","0","0","NA",,"NA","NA","1","2","NA","NA","NA","15","5","6","6","8","6","7","6","6","6","8","6","5","5","2","1","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1635,0,0,0,0,1,"206.7944","1","NA","NA","1","3","NA","NA","NA","1","92","4",219,"1",75,"1","15.6466"
"2005","EE",2271,133.558407291917,"NA","2","2005","14","1",1955,"1","5","3","EU","1","NA","5","1","NA","1","2","NA","NA","2","40","1","0","NA","k","NA","NA","NA","NA","2","NA","NA","NA","8","7","7","7","8","7","7","7","7","7","7","5","3","2","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","2","NA","1","NA","1","NA","5",227,"1",49,"2","15.6466"
"2005","EE",2471,133.558407291917,"NA","2","2005","20","1",1934,"2","2","1","Other","2","NA","5","5","NA","1","NA","NA","3","4","48","0","6","NA",,"NA","NA","1","2","NA","NA","NA","23","6","6","8","8","4","8","8","6","6","1","6","6","3","2","2","1","NA","2","1",0,0,1,0,0,0,0,1,0,0,652,0,0,0,0,1,"245.1602","1","1953","NA","2","1","NA","NA","NA","NA","NA","5",247,"1",70,"4","15.6466"
"2005","EE",2851,133.558407291917,"NA","3","2005","11","2",1935,"2",,"3",,"1","NA",,,"NA","2","2","1","NA",,"NA","0","0","NA",,"NA","NA","1","2","NA","NA","NA","18","7","7","5","7","5","7","7","5","7","8","7","7","2","2","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"NA","NA","1928","NA","NA","4","NA","NA","NA","NA","NA","5",285,"1",69,"1","15.6466"
"2005","EE",3201,133.558407291917,"NA","3","2005","17","4",1927,"2","4","1","Other","2","NA","2","5","NA","NA","NA","NA","3","3","NA","0","0","NA",,"NA","3","1","2","NA","NA","NA","21","6","6","6","6","6","1","1","1","3","6","1","1","3","2","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1915,0,0,0,0,1,"142.7514","NA","NA","NA","NA","NA","3","NA","NA","NA","92","NA",320,"1",77,"3","15.6466"
"2005","EE",3221,133.558407291917,"NA","3","2005","13","1",1931,"2","5","1","Other","2","NA","1","5","NA","1","NA","NA","3","9","NA","0","0","NA",,"NA","NA","1","2","NA","NA","NA","18","6","8","7","7","4","5","6","8","5","8","8","6","4","2","1","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1549,0,0,0,0,1,"NA","NA","NA","1925","1","NA","3","NA","NA","NA","74","NA",322,"1",73,"2","15.6466"
"2005","EE",3821,133.558407291917,"NA","2","2005","17","1",1965,"1","2","1","EE","2","NA","3","1","NA","NA","NA","NA","1","8","40","12","0","NA","i","NA","15","1","1","2","NA","NA","19","1","3","1","1","1","1","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,0,1,11350,0,0,0,1,0,0,0,0,0,0,0,1,"65.91384","1","1930","1945","NA","5","2","4","NA","1","41","5",382,"1",39,"1","15.6466"
"2005","EE",3871,133.558407291917,"NA","2","2005","23","3",1968,"1","1","1","EE","2","NA","5","1","NA","1","NA","NA","NA","6","40","12","12","NA","a","NA","NA","1","2","NA","NA","NA","17","6","7","6","7","6","3","6","6","1","1","6","6","4","2","2","2","NA","2","1",0,0,1,716,0,0,0,1,0,0,0,0,0,0,0,1,"302.6533","1","NA","NA","NA","NA","2","NA","NA","NA","23","NA",387,"1",36,"3","15.6466"
"2005","EE",4321,133.558407291917,"NA","3","2005","14","2",1940,"1","1","2","EE","2","NA","3","1","NA","NA","NA","NA","3","7","40","12","0","NA","f","NA","2","1","1","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","2","NA","2","NA",0,0,1,5237,0,0,0,1,0,0,2130,0,0,0,0,1,"255.2419","1","1925","1951","2","4","3","1","NA","6","NA","2",432,"1",64,"3","15.6466"
"2005","EE",4391,133.558407291917,"NA","2","2005","21","3",1934,"2","5","1","EE","1","NA","2","5","NA","NA","NA","NA","3","7","40","12","0","NA",,"NA","1","1","1","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,3049,0,0,0,0,1,"NA","1","1931","1926","1","2","1","1","83","NA","31","4",439,"1",70,"1","15.6466"
"2005","EE",4451,133.558407291917,"NA","3","2005","23","4",1925,"2","2","3","Other","2","NA","5","5","NA","NA","NA","NA","3","2","NA","0","0","NA",,"NA","NA","1","NA","2","NA","NA","18","6","5","6","8","8","8","6","6","8","1","7","6","4","1","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,878,0,0,0,0,1,"NA","NA","NA","NA","NA","2","4","1","72","1","NA","2",445,"1",79,"1","15.6466"
"2005","EE",4501,133.558407291917,"NA","1","2005","18","2",1941,"1","2","3","EE","2","NA","3","1","NA","1","2","NA","3","2","NA","0","0","NA","l-n","NA","12","1","2","NA","NA","NA","30","3","7","6","8","5","5","6","6","1","7","8","8","3","2","2","1","NA","2","NA",0,0,1,839,0,0,0,1,0,0,791,0,0,0,0,1,"184.5841","1","1925","1925","NA","5","NA","NA","NA","1","31","1",450,"1",63,"1","15.6466"
"2005","EE",4531,133.558407291917,"NA","2","2005","33","4",1929,"2","4","3","Other","2","NA","0","5","NA","NA","2","NA","3","8","40","0","1","NA",,"NA","NA","NA","NA","NA","NA","NA","16","6","1","2","7","8","8","6","7","6","8","7","6","3","1","1","2","NA","2","1",0,0,1,0,0,0,0,1,0,0,1761,0,0,0,0,1,"NA","2","NA","NA","NA","1","1","1","NA","1","51","NA",453,"1",75,"1","15.6466"
"2005","EE",4801,133.558407291917,"NA","2","2005","19","2",1924,"2","4","3","EE","2","NA","3","5","NA","1","NA","NA","3","9","NA","0","0","NA",,"NA","NA","1","2","NA","NA","3","18","6","1","6","6","6","6","6","6","6","1","8","1","3","1","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1698,0,0,0,0,1,"119.9472","NA","1925","NA","NA","NA","NA","NA","NA","NA","41","5",480,"1",80,"1","15.6466"
"2005","EE",4941,133.558407291917,"NA","2","2005","23","1",1968,"1","2","3","Other","2","NA","5","1","NA","NA","NA","NA","3","7","40","6","0","NA","b-e","NA","13","1","2","1","NA","NA","21","3","1","1","1","1","1","1","2","1","1","1","1","2","2","2","2","NA","1","NA",0,0,1,5572,0,0,0,1,0,0,0,0,0,0,0,1,"78.9283","6","1958","1952","2","NA","1","1","NA","1","82","5",494,"1",36,"3","15.6466"
"2005","EE",5071,133.558407291917,"NA","3","2005","22","1",1929,"2","2","1","EE","2","5","1","5","NA","NA","2","NA","1",,"NA","12","0","NA",,"NA","12","1","2","NA","NA","NA","22","1","1","6","8","6","1","6","1","6","1","7","6","4","2","1","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1993,0,0,0,0,1,"NA","1","1925","NA","NA","NA","NA","NA","NA","NA","NA","3",507,"1",75,"3","15.6466"
"2005","EE",5141,133.558407291917,"NA","2","2005","20","2",1932,"2","4","1","EE","2","NA","5","5","NA","1","2","NA","3","2","NA","0","0","NA",,"NA","NA","1","2","NA","NA","NA","25","6","6","8","8","6","7","6","6","6","6","1","5","2","1","2","1","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1584,0,0,0,0,1,"NA","1","NA","NA","1","NA","2","1","12","NA","NA","5",514,"1",72,"4","15.6466"
"2005","EE",5431,133.558407291917,"NA","2","2005","19","1",1924,"2","4","1","EE","2","NA","3","5","NA","NA","NA","NA","3","0 - 1","35","0","0","NA",,"NA","13","1","2","2","NA","NA","26","6","6","1","6","6","1","6","1","7","1","6","3","4","2","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1805,0,0,0,0,1,"588.4104","1","NA","NA","NA","NA","NA","NA","92","1","74","NA",543,"1",80,"4","15.6466"
"2005","EE",5701,133.558407291917,"NA","2","2005","29","2",1951,"2","2","1","EE","2","NA","4","1","NA","1","2","NA","3","9","40","12","0","NA","l-n","NA","NA","1","2","2","NA","NA","23","6","1","1","7","1","1","6","2","6","6","2","1","3","2","3","2","NA","2","NA",0,0,1,2983,0,0,0,1,0,0,0,0,0,0,0,1,"NA","4","1939","NA","NA","NA","NA","NA","NA","6","NA","NA",570,"1",53,"1","15.6466"
"2005","EE",6321,133.558407291917,"NA","2","2005","13","1",1928,"2","2","1","Other","2","NA","4","5","NA","NA","2","NA","3","9","NA","0","0","NA",,"NA","13","1","2","NA","NA","NA","17","1","5","6","6","2","6","1","2","6","1","6","6","2","1","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,2921,0,0,0,0,1,"NA","1","NA","NA","1","5","NA","NA","NA","NA","NA","1",632,"1",76,"3","15.6466"
"2005","EE",6381,133.558407291917,"NA","2","2005","20","2",1937,"1","2","3","EE","2","NA","4","2","NA","NA","NA","NA","3","6","30","12","0","NA","a","NA","13","1","2","2","NA","NA","17","1","1","1","1","1","1","1","1","1","1","1","6","1","2","3","2","NA","1","NA",0,0,1,2166,0,0,0,1,0,0,4626,0,0,0,0,1,"82.69267","1","1941","1934","0","2","4","1","72","1","NA","NA",638,"1",67,"1","15.6466"
"2005","EE",6441,133.558407291917,"NA","2","2005","15","2",1927,"2","5","3","EE","2","NA","3","5","NA","NA","NA","NA","3","3","NA","12","7","NA",,"NA","11","1","2","NA","NA","NA","25","2","1","1","2","6","5","3","6","1","1","6","1","2","1","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1863,0,0,0,0,1,"NA","1","1925","NA","1","NA","NA","2","NA","1","NA","2",644,"1",77,"4","15.6466"
"2005","EE",6701,133.558407291917,"NA","3","2005","13","3",1935,"2","4","3","Other","2","NA","5","5","NA","1","NA","NA","3","3","20","0","0","NA",,"NA","1","1","2","2","NA","NA","15","6","6","1","6","2","6","1","6","5","1","1","6","3","1","1","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1879,0,0,0,0,1,"59.87607","NA","1925","NA","1","1","4","1","12","1","74","NA",670,"1",69,"1","15.6466"
"2005","EE",6741,133.558407291917,"NA","2","2005","30","4",1958,"2","2","3","EE","2","NA","4","1","NA","NA","NA","NA","3","2","40","12","0","NA","l-n","NA","2","1","2","2","3","NA","21","1","1","1","1","3","1","1","1","1","1","1","1","2","1","2","2","NA","2","NA",0,0,1,3775,0,130,0,1,0,0,0,0,0,0,0,1,"NA","3","1936","1925","1","1","3","1","83","1","12","5",674,"1",46,"4","15.6466"
"2005","EE",6761,133.558407291917,"NA","2","2005","29","1",1924,"2","4","2","EE","2","NA","1","5","NA","1","NA","NA","2","2","NA","0","0","NA",,"NA","NA","1","2","2","NA","NA","21","1","1","6","6","1","6","6","1","6","1","6","1","3","1","1","1","NA","2","NA",0,0,1,0,0,0,0,1,0,0,2679,0,0,0,0,1,"128.2637","NA","1941","NA","4","2","1","1","NA","1","74","NA",676,"1",80,"4","15.6466"
"2005","EE",6811,133.558407291917,"NA","2","2005","12","3",1924,"2","4","3","EE","2","NA","2","5","NA","1","NA","NA","3","6","40","12","0","NA",,"NA","12","1","1","2","NA","2","19","1","1","1","1","3","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,3137,0,0,0,0,1,"89.79549","1","1925","1945","2","2","2","1","NA","1","NA","3",681,"1",80,"4","15.6466"
"2005","EE",6901,133.558407291917,"NA","2","2005","17","1",1944,"1","2","1","EE","2","NA","5","1","NA","NA","NA","NA","3","2","50","12","0","NA","l-n","NA","13","1","1","1","NA","NA","22","1","1","1","1","1","1","1","1","1","1","1","1","3","1","3","2","NA","2","NA",0,0,1,17586,0,0,0,1,0,0,0,0,300,0,0,1,"217.0406","1","NA","1936","3","NA","3","NA","92","1","34","3",690,"1",60,"1","15.6466"
"2005","EE",6931,133.558407291917,"NA","2","2005","25","1",1944,"2","5","1","Other","2","NA","1","5","NA","NA","2","NA","3","5","NA","0","0","NA",,"NA","NA","1","NA","NA","NA","10","18","8","2","5","6","8","7","6","6","1","6","5","1","1","1","2","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,1579,0,0,0,0,1,"45.3444","6","1925","NA","3","NA","1","NA","NA","NA","NA","5",693,"1",60,"3","15.6466"
"2005","EE",7031,133.558407291917,"NA","2","2005","10","3",1980,"2","1","1","EE","2","NA","3","2","NA","NA","NA","NA","3","3","NA","0","0","NA","i","NA","NA","NA","2","2","3","NA","19","1","1","6","6","1","1","6","1","1","3","1","1","2","1","3","2","NA","2","NA",0,0,1,1873,0,0,0,1,0,0,0,0,0,0,0,1,"208.4948","NA","NA","1925","4","NA","1","NA","NA","1","NA","NA",703,"1",24,"3","15.6466"
"2005","EE",7331,133.558407291917,"NA","2","2005","12","2",1964,"1","2","2","EE","2","NA","3","1","NA","NA","2","NA","3","8","40","12","0","NA","b-e","NA","13","1","2","2","NA","NA","19","1","1","1","1","1","1","1","1","1","3","1","1","2","1","3","2","NA","2","NA",0,0,1,0,0,0,0,1,0,0,0,0,0,9905,0,1,"338.3404","NA","NA","1925","1","2","5","1","NA","1","51","4",733,"1",40,"3","15.6466"
"2005","EE",7801,133.558407291917,"NA","2","2005","30","4",1966,"1","5","3","Other","2","NA","3","1","NA","NA","2","NA","3","7","NA","0","0","NA","f","NA","4","1","2","2","NA","3","16","6","1","6","2","1","2","2","1","6","6","5","1","2","2","1","2","NA","2","NA",0,0,1,2743,0,64,0,1,0,0,0,0,50,0,0,1,"579.1424","NA","1925","NA","NA","NA","NA","1","24","NA","NA","NA",780,"1",38,"4","15.6466"
"2005","EE",8131,133.558407291917,"NA","2","2005","19","2",1928,"2","2","1","Other","2","NA","5","2","NA","NA","NA","1","3","2","25","12","0","NA","l-n","NA","NA","1","2","NA","NA","NA","16","6","6","1","6","6","1","5","6","1","3","6","6","2","1","2","2","NA","1","NA",0,0,1,372,0,0,0,1,0,0,1526,0,0,0,0,1,"NA","NA","NA","1938","NA","3","3","NA","NA","NA","NA","3",813,"1",76,"3","15.6466"
