"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","MH010","MH020","MH030","MH040","MH050","MH060","MH070","MH080","MH090","MH100","MH110","MH120","MH130","MH140","MH150","MH160","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010","HY081N","HY131N","HY081G","HY131G"
"2007","EE",6,"1","2007","42",5840,3564,0,0,,,,,,0,0,0,0,0,4,,0,0,0,2276,"2","2","2","2","1","1","1","1","1","1","1","4","1917.35","2","2","2","2","2","2","4","1","6","2","1","NA","NA","341.93","1","1","2","1","1","1","2","2","1","1","3","3","2","2","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",48,"2","2007","13",2723,2718,0,0,,,,,,0,0,0,0,0,0,,0,6,0,0,"NA","2","NA","2","1","1","1","1","3","1","3","2","1278.23","3","NA","1","2","2","2","4","1","6","2","1","NA","NA","31.96","2","1","2","1","1","1","1","2","1","3","3","4","3","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",51,"2","2007","16",2111,2110,0,0,,,,,,0,0,0,0,0,0,,0,1,0,0,"NA","2","NA","2","1","1","1","1","3","1","2","2","1278.23","2","NA","2","2","1","1","4","1","1","1","1","NA","NA","95.87","1","1","2","1","2","1","1","2","2","3","3","3","3","3","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",77,"2","2007","20",1991,1975,0,0,,,,,,0,0,0,0,523,6,,0,15,0,0,"NA","2","NA","2","1","1","1","1","1","1","2","5","1278.23","2","2","2","2","2","2","4","1","2","2","1","NA","NA","35.79","1","2","1","1","2","1","1","2","1","4","3","1","4","4","2","NA","2","3","1",1,,,,,,,,,,
"2007","EE",91,"2","2007","19",1505,1478,0,0,,,,,,0,0,0,0,0,0,,0,0,0,26,"NA","2","NA","1","1","1","1","1","1","1","2","2","447.38","2","NA","2","1","2","2","3","1","4","1","2","NA","NA","79.89","1","1","2","1","1","1","1","2","1","3","3","3","1","4","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",102,"2","2007","37",4585,4578,0,0,,,,,,0,0,0,0,0,0,,0,0,0,7,"NA","2","NA","1","1","1","1","1","1","1","1","3","958.67","2","NA","2","2","1","2","4","1","4","2","1","NA","NA","31.96","1","2","1","1","1","1","1","2","1","2","3","2","4","4","4","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",169,"1","2007","23",0,-7,0,0,,,,,,0,0,0,0,0,0,,0,7,0,0,"NA","2","2","2","1","2","1","1","3","1","3","3","1278.23","3","2","2","1","1","2","4","2","2","2","1","NA","NA","63.91","1","1","2","2","1","2","1","1","2","3","2","3","3","3","3","3","2","NA","1",1,,,,,,,,,,
"2007","EE",197,"2","2007","20",7746,4796,0,0,,,,,,0,0,0,0,0,0,,0,2950,0,0,"NA","2","NA","1","1","1","1","1","1","1","1","4","1917.35","3","NA","2","2","1","1","1","1","4","2","1","NA","NA","31.96","1","1","2","1","1","2","1","2","2","4","3","4","3","3","3","3","2","1","1",1,,,,,,,,,,
"2007","EE",210,"2","2007","17",5991,4445,0,0,,,,,,0,0,0,0,0,0,,0,1546,0,0,"NA","2","2","1","1","1","1","1","1","1","1","5","1278.23","3","3","2","1","1","2","1","1","4","2","1","NA","NA","127.82","1","1","2","1","2","1","1","2","1","4","3","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",226,"2","2007","11",9085,9004,0,0,,,,,,0,0,0,0,0,1,,0,0,81,0,"NA","2","2","2","1","1","1","1","1","1","3","4","639.12","1","NA","2","2","2","2","4","1","2","2","1","NA","NA","63.91","1","2","1","1","1","2","1","2","1","3","3","3","3","3","4","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",234,"2","2007","22",2328,-649,0,0,,,,,,0,0,0,0,0,0,,0,0,0,2977,"NA","2","2","1","2","1","1","1","1","1","2","4","1278.23","2","2","2","2","1","2","1","4","1","2","1","7.8","NA","127.82","1","1","1","1","2","1","2","1","1","3","3","3","3","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",254,"2","2007","28",8337,5821,0,0,,,,,,0,0,0,0,0,0,,0,11,0,2506,"2","2","NA","1","1","1","1","1","1","1","1","5","639.12","3","NA","2","2","2","2","3","1","5","2","1","NA","NA","168.98","1","1","2","1","1","1","2","1","1","3","3","4","3","3","4","3","2","3","1",1,,,,,,,,,,
"2007","EE",258,"2","2007","9",547,541,0,0,,,,,,0,0,0,0,0,0,,0,6,0,0,"2","2","NA","2","1","1","1","1","1","1","1","5","639.12","3","NA","2","2","2","2","3","1","2","2","1","NA","NA","73.5","1","1","2","1","1","2","2","2","1","2","3","4","4","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",263,"2","2007","11",1,-6,0,0,,,,,,0,0,0,0,0,1,,0,0,0,7,"NA","2","NA","2","2","1","1","1","1","3","3","4","319.56","2","2","2","1","2","2","4","1","2","2","1","NA","NA","255.65","1","2","2","1","1","1","2","2","1","3","3","3","3","4","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",294,"2","2007","50",8655,6423,0,0,,,,,,0,0,0,0,0,0,,0,2232,0,0,"NA","2","NA","2","1","2","1","1","2","1","1","1","1278.23","3","NA","2","1","1","2","4","1","3","1","1","NA","NA","76.69","1","1","2","1","1","1","1","1","1","3","3","1","4","NA","2","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",330,"2","2007","38",1490,509,0,0,,,,,,0,0,0,0,0,1,,0,1,452,528,"NA","2","2","2","1","2","1","1","2","1","3","3","639.12","3","3","2","2","1","1","4","4","4","2","1","NA","NA","79.89","2","1","1","1","1","1","1","2","1","3","3","3","3","NA","1","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",332,"2","2007","11",1990,1983,0,0,,,,,,0,0,0,0,0,1,,0,7,0,0,"NA","2","NA","1","1","1","1","1","1","1","1","3","255.65","2","NA","1","1","1","2","3","1","4","2","1","NA","NA","127.82","1","2","2","1","1","1","1","2","2","3","4","3","3","2","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",393,"2","2007","10",5631,4535,0,0,,,,,,0,0,0,0,0,0,,0,0,264,833,"2","2","2","1","1","1","1","1","1","1","1","4","1278.23","2","NA","2","1","1","2","4","1","5","2","1","NA","NA","193.01","1","1","2","1","1","1","1","2","1","4","3","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",399,"2","2007","12",20591,20586,0,0,,,,,,0,0,0,0,0,1,,0,0,0,4,"NA","2","NA","2","1","1","1","1","3","1","3","1","1917.35","1","NA","2","1","1","2","1","4","3","2","1","NA","NA","15.66","2","2","2","1","1","2","1","2","1","3","4","4","4","3","1","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",446,"2","2007","15",2811,2809,0,0,,,,,,0,0,0,0,0,1,,0,2,0,0,"NA","2","NA","1","1","1","1","1","3","1","3","2","511.29","2","NA","2","2","2","2","4","1","1","2","1","NA","NA","108.65","1","1","2","1","1","1","2","2","1","3","4","4","NA","NA","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",452,"1","2007","27",7208,6069,0,0,,,,,,0,0,0,0,0,0,,0,2,0,1137,"2","2","NA","1","1","1","1","1","3","1","2","2","766.94","2","NA","2","2","2","1","3","1","2","2","1","NA","NA","95.87","1","1","1","1","1","1","2","2","2","4","3","3","3","3","3","NA","2","NA","1",1,,,,,,,,,,
"2007","EE",458,"2","2007","24",2419,1648,0,0,,,,,,0,0,0,0,0,0,,0,0,0,770,"NA","2","NA","1","1","2","1","1","1","3","3","4","958.67","3","NA","2","1","2","2","4","1","2","2","1","NA","NA","159.78","1","1","2","1","1","1","2","2","2","3","2","3","1","NA","3","NA","2","NA","1",1,,,,,,,,,,
