"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010","PY031G","PL110"
"2007","EE",61,111.406917994559,"NA","2","2007","10","1",1949,"2","2","3","EE","2","NA","5","1","NA","NA","NA","NA","3","4","35","7","0","NA","NA","13","1","2","NA","NA","NA","17","1","1","1","1","2","1","1","1","1","1","1","1","3","1","3","2","NA","2","NA",0,0,253,5836,0,0,5746,0,0,163,0,0,0,0,0,0,0,1,6,"1",57,"1","15.6466",1,"l-n"
"2007","EE",481,111.406917994559,"NA","2","2007","13","2",1931,"2","4","3","EE","2","NA","3","5","NA","NA","2","NA","3","3","40","12","0","NA","NA","13","1","2","2","NA","NA","23","1","1","6","2","6","1","1","1","1","1","1","1","4","1","3","2","NA","2","1",0,0,0,0,0,0,1887,0,0,0,0,0,2723,0,0,0,0,1,48,"1",75,"1","15.6466",1,"NA"
"2007","EE",511,111.406917994559,"NA","1","2007","8","4",1926,"2","4","3","EE","2","NA","1","5","NA","1","2","NA","3","9","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","18","6","6","8","6","8","6","6","8","6","6","3","6","2","1","1","2","NA","2","NA",0,0,0,0,0,0,766,0,0,84,0,0,2111,0,0,0,0,1,51,"1",80,"4","15.6466",1,"NA"
"2007","EE",771,111.406917994559,"NA","1","2007","5","3",1932,"2","4","2","EE","2","NA","5","5","NA","1","2","NA","3","5","NA","12","0","NA","NA","NA","1","2","NA","NA","NA","22","6","6","6","7","6","6","1","6","6","2","6","6","1","1","2","2","NA","2","NA",0,115,0,0,0,0,1030,0,0,53,0,0,1462,0,0,0,0,1,77,"1",74,"3","15.6466",1,"NA"
"2007","EE",911,111.406917994559,"NA","2","2007","17","1",1937,"2","2","1","Other","2","NA","1","5","NA","NA","NA","NA","3","9","NA","0","0","NA","NA","13","NA","2","1","NA","NA","20","6","6","6","6","6","6","2","6","6","6","6","6","1","1","2","2","NA","2","1",0,0,0,0,0,0,2643,0,0,0,0,0,1504,0,0,0,0,1,91,"1",69,"1","15.6466",1,"NA"
"2007","EE",1021,111.406917994559,"NA","2","2007","22","3",1957,"1","2","1","EE","2","NA","4","1","NA","NA","NA","NA","3","0 - 1","40","10","0","NA","NA","13","1","2","2","NA","NA","16","1","1","3","1","NA","6","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,0,0,4585,0,0,3042,0,0,0,0,0,0,0,0,0,0,1,102,"1",49,"1","15.6466",1,"l-n"
"2007","EE",1691,111.406917994559,"NA","3","2007","10","1",1986,"2","1","1","EE","1","NA","2","4","NA","NA","2","NA","NA",,"NA","0","5","NA","NA","NA","1","NA","2","NA","NA","NA","7","7","8","5","7","7","7","7","7","8","8","5","2","2","3","2","NA","2","NA",0,0,0,0,0,0,1481,0,0,0,0,0,0,0,0,0,0,1,169,"1",20,"1","15.6466",1,"NA"
"2007","EE",1971,111.406917994559,"NA","1","2007","18","2",1976,"1","1","1","EE","2","5","3","1","NA","NA","NA","NA","3","9","10","12","0","NA","NA","2","1","1","2","NA","NA","20","1","1","1","1","1","1","1","2","1","1","1","1","2","2","3","2","NA","2","NA",0,0,85,7746,0,0,12526,0,0,49,0,0,0,0,0,0,0,1,197,"1",30,"1","15.6466",1,"f"
"2007","EE",2101,111.406917994559,"NA","2","2007","7","3",1978,"1","1","3","EE","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","40","NA","0","NA","NA","12","1","1","1","NA","NA","20","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","2","NA","2","NA",0,0,0,5991,678,0,1142,0,0,111,0,0,0,0,0,0,0,1,210,"1",28,"3","15.6466",1,"g"
"2007","EE",2261,111.406917994559,"NA","2","2007","9","4",1957,"2","5","2","EE","2","NA","5","1","NA","NA","NA","NA","3","3","40","12","0","NA","NA","13","1","1","2","NA","NA","24","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","1","NA",0,0,0,5968,0,0,0,0,0,0,0,931,0,0,2185,0,0,1,226,"1",49,"1","15.6466",1,"l-n"
"2007","EE",2341,111.406917994559,"NA","1","2007","4","3",1980,"2","2","3","EE","2","NA","5","8","NA","1","2","NA","3","2","20","0","0","NA","NA","NA","1","NA","NA","NA","NA","18","6","6","6","6","6","6","1","6","6","6","6","6","3","1","3","2","NA","2","1",0,0,53,2328,0,0,4994,0,0,0,0,0,0,0,0,0,0,1,234,"1",26,"1","15.6466",1,"NA"
"2007","EE",2541,111.406917994559,"NA","2","2007","11","2",1938,"1","1","3","EE","2","NA","NA","1","NA","NA","NA","NA","3","7","32","12","0","25","NA","13","1","2","2","NA","NA","23","1","1","1","1","3","1","1","1","5","1","3","1","3","1","3","2","NA","2","NA",0,0,0,3621,0,0,933,0,0,0,0,0,4354,0,362,0,0,1,254,"1",68,"3","15.6466",1,"l-n"
"2007","EE",2581,111.406917994559,"NA","2","2007","16","1",1983,"1","1","1","EE","1","NA","3","4","NA","1","2","1","NA",,"40","0","0","NA","NA","NA","NA","2","NA","NA","NA","18","7","7","8","7","7","7","8","5","8","7","8","8","4","2","3","2","NA","2","NA",0,0,5,276,0,0,1869,0,0,0,0,0,0,0,0,0,271,1,258,"1",23,"4","15.6466",1,"NA"
"2007","EE",2631,111.406917994559,"NA","2","2007","19","3",1985,"2","1","2","EE","1","NA","3","4","NA","1","1","NA","3",,"NA","0","0","NA","NA","2","1","NA","NA","NA","NA","NA","7","7","7","5","8","7","8","1","7","7","3","7","2","2","3","1","NA","1","NA",0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,1,263,"1",21,"1","15.6466",1,"NA"
"2007","EE",2941,111.406917994559,"NA","1","2007","11","2",1959,"1","2","1","EE","2","5","6","1","NA","NA","NA","NA","3","2","40","12","0","NA","NA","12","1","2","2","NA","NA","17","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","1","NA",0,0,4,7997,0,0,2568,0,0,0,0,0,658,0,0,0,0,1,294,"1",47,"1","15.6466",1,"k"
"2007","EE",3301,111.406917994559,"NA","1","2007","9","2",1945,"2","1","1","EE","2","NA","5","5","NA","NA","2","NA","3","2","NA","0","0","NA","NA","NA","1","NA","NA","NA","7","20","6","6","6","6","6","6","6","6","6","6","6","6","2","1","2","2","NA","2","NA",0,0,0,0,0,0,0,0,0,25,0,0,1490,0,0,0,0,1,330,"1",61,"1","15.6466",1,"NA"
