"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2007","EE",61,111.406917994559,"3",1949,"2","1","4","4","11","2","NA","NA","NA","NA","0","NA",6,57,58
"2007","EE",481,111.406917994559,"2",1931,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",48,75,75
"2007","EE",511,111.406917994559,"3",1926,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",51,80,80
"2007","EE",771,111.406917994559,"3",1932,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",77,74,75
"2007","EE",911,111.406917994559,"4",1937,"2","1","1","1","11","2","NA","NA","NA","NA","NA","0",91,69,69
"2007","EE",1021,111.406917994559,"3",1957,"1","1","1","1","11","2","NA","NA","NA","0","NA","NA",102,49,49
"2007","EE",1691,111.406917994559,"2",1986,"2","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA",169,20,20
"2007","EE",1971,111.406917994559,"4",1976,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",197,30,31
"2007","EE",2101,111.406917994559,"1",1978,"1","1","1","1","11","2","NA","NA","NA","NA","0","NA",210,28,28
"2007","EE",2261,111.406917994559,"2",1957,"2","1","1","1","11","NA","40","NA","0","NA","NA","NA",226,49,49
"2007","EE",2341,111.406917994559,"4",1980,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",234,26,26
"2007","EE",2541,111.406917994559,"2",1938,"1","1","4","1","NA","2","NA","NA","NA","0","NA","NA",254,68,68
"2007","EE",2581,111.406917994559,"1",1983,"1","1","4","4","NA","2","NA","NA","NA","NA","NA","NA",258,23,24
"2007","EE",2631,111.406917994559,"2",1985,"2","1","4","1","11","2","NA","NA","15","NA","NA","NA",263,21,22
"2007","EE",2941,111.406917994559,"1",1959,"1","1","1","1","11","2","NA","NA","NA","0","NA","NA",294,47,48
"2007","EE",3301,111.406917994559,"3",1945,"2","1","4","4","11","2","NA","NA","NA","NA","0","NA",330,61,61
"2007","EE",3321,111.406917994559,"4",1926,"2","1","3","1","11","NA","NA","NA","NA","0","NA","NA",332,80,80
"2007","EE",3931,111.406917994559,"2",1955,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",393,51,52
"2007","EE",3991,111.406917994559,"1",1957,"2","1","1","4","11","2","NA","NA","NA","NA","NA","0",399,49,49
"2007","EE",4461,111.406917994559,"1",1932,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",446,74,74
"2007","EE",4521,111.406917994559,"3",1978,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",452,28,29
"2007","EE",4581,111.406917994559,"4",1926,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",458,80,80
"2007","EE",4641,111.406917994559,"4",1983,"2","1","4","1","11","2","NA","NA","0","NA","NA","NA",464,23,24
"2007","EE",4661,111.406917994559,"4",1949,"1","1","4","1","11","2","NA","NA","NA","0","NA","0",466,57,57
"2007","EE",4801,111.406917994559,"2",1985,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",480,21,21
"2007","EE",4951,111.406917994559,"4",1931,"2","1","1","1","11","NA","NA","20","NA","NA","NA","NA",495,75,76
"2007","EE",5081,111.406917994559,"3",1929,"2","1","4","4","11","2","NA","NA","0","NA","NA","0",508,77,78
"2007","EE",5221,111.406917994559,"4",1934,"1","1","1","4","11","2","NA","NA","NA","NA","NA","NA",522,72,73
"2007","EE",5301,111.406917994559,"1",1930,"2","1","1","1","11","2","NA","NA","NA","NA","NA","0",530,76,76
"2007","EE",5601,111.406917994559,"4",1942,"1","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",560,64,65
"2007","EE",5871,111.406917994559,"1",1956,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",587,50,50
"2007","EE",6111,111.406917994559,"3",1939,"2","1","1","1","11","2","NA","NA","NA","NA","NA","6",611,67,67
"2007","EE",6511,111.406917994559,"2",1928,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",651,78,78
"2007","EE",6571,111.406917994559,"3",1958,"2","1","1","1","11","5","NA","NA","NA","NA","0","NA",657,48,48
"2007","EE",6631,111.406917994559,"1",1926,"2","1","1","1","11","2","NA","NA","NA","0","NA","0",663,80,80
"2007","EE",6651,111.406917994559,"2",1958,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",665,48,48
"2007","EE",6901,111.406917994559,"2",1951,"2","1","3","4","11","2","NA","NA","NA","NA","NA","NA",690,55,56
"2007","EE",6941,111.406917994559,"3",1952,"1","1","1","4","11","2","NA","NA","NA","NA","NA","NA",694,54,54
"2007","EE",6961,111.406917994559,"3",1974,"1","1","2","4","11","1","NA","NA","NA","NA","NA","NA",696,32,33
"2007","EE",6981,111.406917994559,"1",1927,"2","1","1","4","11","2","NA","22","0","NA","NA","NA",698,79,80
"2007","EE",7021,111.406917994559,"3",1926,"2","1","3","1","11","5","40","NA","NA","NA","NA","NA",702,80,80
"2007","EE",7101,111.406917994559,"2",1957,"2","1","1","4","11","2","NA","NA","NA","NA","0","NA",710,49,49
"2007","EE",7141,111.406917994559,"1",1926,"2","1","4","1","NA","2","NA","NA","NA","NA","NA","NA",714,80,80
"2007","EE",7241,111.406917994559,"2",1933,"1","1","1","1","11","2","NA","NA","0","NA","NA","NA",724,73,74
"2007","EE",7551,111.406917994559,"1",1926,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",755,80,80
"2007","EE",8041,111.406917994559,"4",1944,"1","1","1","1","11","5","NA","20","0","NA","NA","NA",804,62,62
"2007","EE",8371,111.406917994559,"2",1926,"2","1","1","1","11","1","NA","NA","0","NA","NA","NA",837,80,80
"2007","EE",8381,111.406917994559,"4",1926,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",838,80,80
"2007","EE",8461,111.406917994559,"2",1926,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",846,80,80
"2007","EE",8611,111.406917994559,"2",1957,"1","1","3","1","11","2","NA","NA","NA","NA","0","10",861,49,50
"2007","EE",8701,111.406917994559,"1",1926,"1","1","4","1","11","5","NA","NA","NA","NA","NA","NA",870,80,80
"2007","EE",9271,111.406917994559,"1",1935,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",927,71,71
"2007","EE",9281,111.406917994559,"1",1938,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",928,68,68
"2007","EE",9841,111.406917994559,"4",1926,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",984,80,80
"2007","EE",10331,111.406917994559,"3",1933,"1","1","1","4","11","2","NA","NA","NA","NA","NA","NA",1033,73,74
"2007","EE",10391,111.406917994559,"1",1955,"1","1","3","4","11","2","NA","NA","NA","NA","NA","NA",1039,51,52
"2007","EE",10471,111.406917994559,"3",1947,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",1047,59,60
"2007","EE",10601,111.406917994559,"3",1940,"2","1","4","1","11","2","NA","NA","NA","0","NA","NA",1060,66,66
"2007","EE",10981,111.406917994559,"4",1965,"1","1","1","1","11","2","NA","25","NA","NA","NA","5",1098,41,42
"2007","EE",11071,111.406917994559,"3",1928,"2","1","4","1","11","2","42","NA","0","NA","0","NA",1107,78,78
"2007","EE",11391,111.406917994559,"1",1935,"2","1","4","1","11","2","NA","NA","0","NA","NA","0",1139,71,72
"2007","EE",11431,111.406917994559,"4",1975,"2","1","4","1","NA","2","NA","NA","NA","NA","NA","NA",1143,31,32
"2007","EE",11771,111.406917994559,"4",1986,"1","1","3","1","11","2","NA","NA","0","NA","NA","0",1177,20,20
"2007","EE",11991,111.406917994559,"4",1978,"1","1","1","1","11","2","NA","NA","NA","NA","0","0",1199,28,28
"2007","EE",12011,111.406917994559,"3",1947,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",1201,59,59
"2007","EE",12061,111.406917994559,"2",1939,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",1206,67,68
"2007","EE",12181,111.406917994559,"3",1975,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","0",1218,31,31
"2007","EE",12511,111.406917994559,"3",1938,"2","1","4","1","11","2","NA","NA","NA","NA","NA","0",1251,68,68
"2007","EE",12831,111.406917994559,"1",1951,"1","1","3","1","11","2","0","NA","NA","0","NA","NA",1283,55,56
"2007","EE",12841,111.406917994559,"2",1936,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",1284,70,70
"2007","EE",13011,111.406917994559,"3",1936,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",1301,70,70
"2007","EE",13201,111.406917994559,"1",1945,"2","1","4","4","11","5","NA","NA","NA","NA","NA","NA",1320,61,62
"2007","EE",13301,111.406917994559,"1",1933,"2","1","1","1","11","3","NA","NA","NA","NA","NA","0",1330,73,73
"2007","EE",13321,111.406917994559,"4",1936,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",1332,70,71
"2007","EE",13391,111.406917994559,"4",1977,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",1339,29,29
"2007","EE",13651,111.406917994559,"2",1942,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",1365,64,65
"2007","EE",13761,111.406917994559,"4",1948,"2","1","2","1","11","5","NA","NA","NA","NA","NA","NA",1376,58,58
"2007","EE",13771,111.406917994559,"2",1931,"2","1","2","4","11","NA","NA","NA","NA","NA","NA","NA",1377,75,75
"2007","EE",13981,111.406917994559,"2",1956,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",1398,50,51
"2007","EE",14051,111.406917994559,"2",1979,"1","1","1","1","NA","2","NA","NA","NA","NA","0","NA",1405,27,28
"2007","EE",14501,111.406917994559,"1",1974,"2","2","1","1","11","2","NA","NA","NA","NA","0","NA",1450,32,32
"2007","EE",14701,111.406917994559,"1",1935,"2","1","1","1","11","5","NA","NA","NA","0","NA","NA",1470,71,71
"2007","EE",15111,111.406917994559,"4",1947,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",1511,59,60
"2007","EE",15141,111.406917994559,"2",1964,"1","1","4","1","11","NA","NA","NA","0","NA","0","0",1514,42,43
"2007","EE",15491,111.406917994559,"4",1928,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",1549,78,78
"2007","EE",15751,111.406917994559,"4",1943,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",1575,63,63
"2007","EE",16321,111.406917994559,"4",1982,"1","1","4","4","NA","2","NA","NA","NA","NA","NA","0",1632,24,24
"2007","EE",16361,111.406917994559,"1",1926,"2","1","1","1","11","2","NA","30","NA","NA","NA","NA",1636,80,80
"2007","EE",16591,111.406917994559,"2",1967,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",1659,39,39
"2007","EE",16611,111.406917994559,"3",1926,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",1661,80,80
"2007","EE",16731,111.406917994559,"1",1926,"1","1","3","1","11","2","NA","NA","NA","NA","0","NA",1673,80,80
