"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","MI010","MI020","MI025","MI026","MI030","MI040","MI045","MI046","MI050","MI051","MI052","MI053","MI054","MI055","MI056","MI057","MI058","MI060","MI065","MI066","MI075","MI076","MI085","MI086","MI090","MI095","MI100","MI110","MI111","MI112","MI113","MI114","MI120","MI121","MI122","MI123","MI124","MI125","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2008","EE",7,"2","2008","15",4288,3570,0,0,,,,,,,,0,0,0,0,0,,0,,0,718,0,,0,"NA","3","NA","3","NA","3","1","1","2","1","1","1","1","1","4","958.67","2","2","2","2","2","2","4","1","3","2","1","NA","NA","359.89","NA","1","NA","1","1","2","NA","NA","1","NA","NA","NA","1","2","1","2","2","2","2","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",49,"1","2008","4",5876,1899,0,0,,,,,,,,0,0,0,0,0,,0,,0,151,0,,3825,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","2","958.67","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","136.96","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","1","2","2","2","NA","2","NA","2","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","1","NA","NA","NA","2","NA","1",1,,,,,,
"2008","EE",78,"1","2008","6",810,803,0,0,,,,,,,,0,0,0,0,0,,0,,0,7,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","3","1","3","4","319.56","2","NA","2","2","2","2","1","1","1","2","1","NA","NA","35.15","NA","1","NA","3","1","2","NA","NA","2","2","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1",1,,,,,,
"2008","EE",93,"2","2008","24",5073,3959,0,0,,,,,,,,0,0,0,0,0,,0,,0,21,0,,1094,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","1","1","5","1917.35","2","NA","2","1","1","1","1","1","2","2","1","NA","NA","102.9","NA","1","NA","3","1","2","NA","NA","1","NA","NA","NA","1","2","NA","NA","NA","2","NA","NA","2","2","NA","NA","NA","NA","NA","NA","2","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",104,"1","2008","8",4753,2901,0,0,,,,,,,,0,0,0,0,0,,0,,0,1852,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","2","3","958.67","2","2","2","2","1","2","4","1","4","2","1","NA","NA","419.2","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","1","NA","2","2","2","NA","2","NA","NA","2","NA","NA","NA","1","NA","NA","2","NA","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",172,"1","2008","12",8053,8049,0,0,,,,,,,,0,0,0,0,0,,0,,0,5,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","1597.79","NA","2","2","2","2","1","1","1","6","2","1","NA","NA","395.17","NA","1","NA","1","1","2","NA","NA","1","2","NA","NA","1","2","NA","2","2","2","2","2","2","2","NA","NA","NA","NA","NA","NA","1","4","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",201,"1","2008","30",4249,4247,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","3","3","575.2","3","NA","2","2","2","1","4","1","4","2","1","NA","NA","100.34","NA","1","NA","1","1","2","NA","NA","2","NA","NA","NA","1","2","1","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","2","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",214,"2","2008","16",403,-35,0,0,,,,,,,,0,0,0,0,0,,0,,0,7,0,,430,"NA","3","NA","3","NA","NA","1","1","2","1","1","1","1","1","4","639.12","2","2","2","2","2","2","4","1","3","2","1","NA","NA","123.35","NA","1","NA","3","1","2","NA","NA","2","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","1",1,,,,,,
"2008","EE",230,"2","2008","18",2345,2329,0,0,,,,,,,,0,0,0,0,0,,0,,0,12,0,,4,"NA","NA","NA","3","NA","3","2","2","2","1","1","3","1","3","2","447.38","2","NA","2","2","2","2","4","1","5","2","1","NA","NA","103.54","NA","1","NA","1","1","2","NA","NA","2","2","NA","NA","2","NA","1","1","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","1",1,,,,,,
"2008","EE",238,"1","2008","14",2234,2147,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,87,"NA","3","NA","3","NA","3","2","1","1","1","3","1","1","2","2","1597.79","3","NA","2","2","2","2","4","1","2","2","1","NA","NA","34.51","NA","1","NA","3","1","2","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","2","2","NA","2","2","NA","NA","NA","NA","NA","NA","2","NA","4","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","1",1,,,,,,
