"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PY021G","PY030G","PX020","PX050","PX010","PL110","PL111"
"2008","EE",71,123.100758853288,"NA","1","2008","3","1",1948,"1","2","3","EE","2","NA","3","1","NA","NA","2","NA","3","7","40","6","12","NA","NA","11","1","2","2","NA","NA","20","8","2","1","1","1","6","6","1","6","1","6","2","3","1","3","2","NA","2","NA",383,0,88,0,0,1,240,4288,0,0,0,0,0,0,0,0,1,7,"1",0,0,59,"1","1","l","b-e"
"2008","EE",491,123.100758853288,"NA","2","2008","18","4",1977,"2","1","3","EE","1","NA","2","1","NA","NA","NA","NA","3","9","36","12","NA","NA","NA","5","1","2","2","NA","4","17","1","1","1","5","1","3","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,185,19,5876,0,1,0,0,0,0,0,0,0,0,0,0,1,49,"1",0,1409,30,"6","1","j","a"
"2008","EE",781,123.100758853288,"NA","2","2008","12","1",1927,"1","2","2","Other","1","3","2","5","NA","2","1","NA","3","8","NA","0","0","NA","NA","1","1","NA","NA","NA","NA","NA","7","8","7","7","7","7","7","7","7","7","7","7","2","2","3","2","NA","2","NA",0,0,4,0,0,1,0,0,0,0,0,810,0,0,0,0,1,78,"1",0,7248,80,"1","1","","NA"
"2008","EE",931,123.100758853288,"NA","1","2008","8","2",1946,"2","4","3","EE","2","NA","2","1","NA","NA","NA","NA","3","5","40","12","0","NA","NA","13","NA","NA","NA","NA","7","21","8","1","1","1","1","1","1","1","1","1","1","6","NA","2","3","2","NA","2","NA",0,0,0,4048,0,1,0,0,51,0,0,993,0,32,0,0,1,93,"1",0,2373,61,"1","1","","p"
"2008","EE",1041,123.100758853288,"NA","2","2008","13","2",1957,"2","2","1","EE","2","NA","3","1","NA","NA","NA","NA","3","5","40","0","0","NA","NA","13","1","2","2","NA","NA","21","6","1","1","1","2","1","6","6","6","3","6","1","3","2","3","2","NA","1","1",0,0,0,4753,0,1,0,0,36,0,0,0,0,0,0,0,1,104,"1",0,2205,50,"1","1","g","i"
"2008","EE",1721,123.100758853288,"NA","2","2008","17","1",1955,"2","2","1","EE","2","NA","5","1","NA","NA","NA","NA","3","2","40","12","0","NA","NA","13","NA","1","2","NA","NA","18","1","1","1","1","1","1","3","1","1","1","1","1","2","2","2","2","NA","2","NA",0,0,58,8053,0,1,0,0,20,0,0,0,0,0,0,0,1,172,"1",0,0,52,"1","1","a+b","j"
"2008","EE",2011,123.100758853288,"NA","2","2008","13","1",1947,"2","2","1","EE","2","NA","2","5","NA","NA","NA","NA","3","9","40","12","0","NA","NA","13","1","1","2","NA","NA","17","1","1","1","1","1","1","1","6","6","7","6","1","2","1","2","2","NA","2","NA",0,0,10,0,0,1,0,0,92,0,0,4249,0,0,0,0,1,201,"1",0,0,60,"7","1","c+d+e","NA"
"2008","EE",2141,123.100758853288,"NA","2","2008","15","4",1977,"2","2","1","EE","2","NA","5","8","NA","NA","2","NA","NA","3","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","22","7","7","1","7","7","5","7","7","7","7","8","7","3","2","2","2","NA","2","NA",0,0,162,403,448,1,0,0,61,0,0,0,0,0,0,0,1,214,"1",0,0,30,"1","1","","NA"
"2008","EE",2301,123.100758853288,"NA","1","2008","28","1",1930,"1","5","1","EE","2","NA","2","5","NA","1","2","NA","3","8","40","12","0","NA","NA","NA","1","2","NA","NA","NA","18","6","8","6","6","6","6","6","NA","6","1","6","6","3","1","2","2","NA","2","2",0,226,167,0,0,1,0,0,0,0,0,2345,0,0,0,0,1,230,"1",0,0,77,"7","1","","NA"
"2008","EE",2381,123.100758853288,"NA","1","2008","9","1",1955,"2","1","1","EE","2","NA","3","5","NA","NA","2","NA","3","9","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","15","6","6","8","6","6","6","6","6","6","6","6","6","3","1","2","2","NA","2","NA",0,0,0,1080,0,1,0,0,124,0,0,1154,0,0,0,0,1,238,"1",0,1226,52,"7","1","","NA"
