"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","EE",7,"1","2009","43",7649,3963,0,0,,,,,,,,0,0,0,0,1461,,0,,0,239,0,,3447,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","4","1917.35","2","NA","2","2","1","2","4","1","4","1","1","NA","NA","135.3","NA","1","NA","1","1","2","NA","2","58","4","4","4","3","1","1","1","NA","1","1","1","NA","1","1","1","NA","1","1","NA","1","1","2","NA","2","NA","1",1,,,,,,
"2009","EE",49,"1","2009","25",12402,5873,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6529,"NA","NA","NA","3","NA","3","1","1","1","1","1","2","1","2","3","639.12","2","3","2","2","2","2","3","1","3","1","1","NA","NA","131.53","NA","3","NA","1","1","2","NA","2","106","4","4","NA","2","2","2","NA","1","1","2","1","NA","1","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",78,"1","2009","26",3359,3358,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,"NA","NA","NA","2","NA","NA","2","1","2","1","1","1","3","3","2","1278.23","2","3","2","2","1","2","3","1","5","2","1","NA","NA","76.76","NA","1","NA","1","1","2","NA","2","77","4","4","4","4","2","1","NA","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",93,"2","2009","15",27214,24490,0,0,,,,,,,,0,0,0,16692,0,,0,,0,0,2724,,0,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1917.35","2","2","2","2","2","2","4","1","5","1","1","NA","NA","161.38","NA","1","NA","1","1","2","NA","2","66","4","4","3","3","1","1","NA","1","NA","NA","NA","1","NA","1","1","1","1","NA","NA","NA","NA","2","NA","2","NA","1",1,,,,,,
"2009","EE",104,"2","2009","10",3004,1594,0,0,,,,,,,,0,0,0,0,0,,0,,0,1409,0,,0,"NA","NA","NA","3","NA","3","2","1","1","1","2","3","2","3","3","894.76","1","NA","2","2","1","1","3","1","2","2","1","NA","NA","91.14","NA","1","NA","1","2","2","NA","2","69","4","3","4","4","3","1","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",173,"2","2009","20",33328,33293,0,0,,,,,,,,0,0,0,0,0,,1,,0,34,0,,0,"NA","NA","NA","3","NA","NA","2","1","1","1","1","3","1","2","3","1278.23","3","NA","2","2","2","2","4","1","2","1","1","NA","NA","574.76","NA","1","NA","1","2","2","NA","2","42","1","3","3","4","2","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",201,"2","2009","44",4709,4635,0,0,,,,,,,,0,0,0,36,0,,0,,0,0,74,,0,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","3","3","4","255.65","3","2","2","2","2","2","1","1","2","2","1","NA","NA","17.9","NA","3","NA","3","1","2","NA","2","52","4","4","NA","3","2","1","NA","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1",1,,,,,,
"2009","EE",214,"2","2009","8",3699,3686,0,0,,,,,,,,0,0,0,0,0,,2,,0,13,0,,0,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","2","3","1278.23","1","NA","2","2","2","2","4","1","3","1","1","NA","NA","332.98","NA","1","NA","1","1","2","NA","2","80","4","4","3","4","2","3","NA","NA","NA","1","1","NA","NA","NA","1","1","3","NA","NA","NA","NA","NA","NA","2","NA","1",1,,,,,,
"2009","EE",230,"2","2009","9",2955,2949,0,0,,,,,,,,0,0,0,0,0,,20,,0,3,0,,3,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","3","1917.35","1","2","2","2","2","2","4","1","3","1","1","NA","NA","63.27","NA","1","NA","3","1","2","NA","2","76","4","4","NA","3","3","3","NA","NA","2","NA","NA","NA","1","1","NA","1","NA","NA","NA","NA","3","2","NA","NA","NA","1",1,,,,,,
"2009","EE",238,"1","2009","19",13725,11019,0,0,,,,,,,,0,0,0,0,0,,111,,0,0,0,,2706,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1086.5","2","NA","2","2","2","2","3","2","2","2","1","NA","NA","293.67","NA","1","NA","1","1","2","NA","1","50","3","3","3","3","1","1","1","1","NA","NA","1","NA","1","1","NA","NA","3","1","1","1","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",260,"2","2009","13",3111,3051,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,29,,30,"NA","2","NA","2","NA","NA","1","2","1","1","1","1","1","1","3","1278.23","2","2","2","2","2","2","4","1","4","1","1","NA","NA","95.23","NA","1","NA","1","1","2","NA","1","53","3","4","3","3","1","1","NA","1","1","1","NA","NA","NA","1","3","1","NA","1","1","1","1","2","NA","2","NA","1",1,,,,,,
"2009","EE",264,"2","2009","28",14187,11060,8732,8732,,,,,,,,8732,0,0,0,0,,0,,0,27,0,,3101,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","4154.26","1","2","2","2","2","2","2","1","6","2","1","NA","NA","304.16","NA","1","NA","1","1","2","NA","2","280","4","4","4","2","1","1","NA","NA","1","1","NA","NA","1","1","1","1","1","1","NA","1","1","NA","NA","2","NA","1",1,,,,,,
"2009","EE",268,"2","2009","21",3623,3620,0,0,,,,,,,,0,0,0,0,67,,0,,0,0,0,,3,"NA","NA","NA","3","NA","NA","2","1","1","1","1","2","1","1","2","639.12","2","NA","2","2","2","2","4","1","2","2","1","NA","NA","79.89","NA","1","NA","1","1","2","NA","2","63","4","4","3","3","2","1","NA","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","NA","1",1,,,,,,
"2009","EE",300,"2","2009","15",5953,5861,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,92,"NA","3","NA","1","NA","NA","1","1","1","1","1","1","1","1","3","1278.23","2","NA","2","2","1","2","3","1","3","2","1","255.65","NA","138.11","NA","1","NA","1","1","2","6","2","100","2","3","3","3","1","1","1","1","1","NA","1","1","1","NA","3","1","3","2","1","NA","3","2","NA","2","3","1",1,,,,,,
"2009","EE",336,"2","2009","20",6539,5606,0,0,,,,,,,,0,0,0,0,0,,0,,0,933,0,,0,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","4","6327.25","3","2","2","2","2","2","1","1","6","1","1","NA","NA","304.92","NA","1","NA","1","1","2","NA","2","124","4","4","4","4","1","1","1","NA","NA","1","1","NA","1","1","1","NA","1","3","NA","1","NA","2","NA","2","NA","1",1,,,,,,
