"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD010","PD020","PD030","PD040","PD050","PD060","PD070","PX030","PX040","PL031","pl070","pl070_f","pl072","pl072_f","PX020","PX050","PX010","PL110","PL111"
"2009","EE",71,117.726082578046,"NA","2","2009","10","1",1968,"1","2","3","EE","2","NA","3","NA","NA","NA","NA","NA","3","7","NA","NA","NA","9","1","2","2","NA","NA","19","1","1","1","1","6","1","1","1","1","1","1","1","3","1","3","2","NA","2","NA",256,383,0,6188,0,0,2498,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","2","1","1","3",7,"1","1",,,,,40,"2","1",,"f"
"2009","EE",491,117.726082578046,"NA","2","2009","9","3",1966,"1","2","2","EE","2","NA","3","NA","NA","NA","NA","NA","3","7","40","NA","NA","7","1","NA","2","NA","NA","19","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","NA","2","NA",0,0,0,12402,0,0,822,1,0,0,309,0,0,0,0,0,0,0,1,"1","3","1","2","1","1","1",49,"1","1",,,,,42,"5","1",,"f"
"2009","EE",781,117.726082578046,"NA","2","2009","5","4",1932,"2","4","3","Other","2","NA","2","NA","NA","1","NA","NA","3","8","NA","NA","NA","NA","2","1","2","NA","NA","17","8","6","8","6","6","6","6","2","1","6","1","6","3","1","2","2","2","2","NA",0,0,198,0,0,0,0,1,0,0,62,0,0,3359,0,0,0,0,1,"1","1","1","4","1","1","1",78,"1","7",,,,,76,"7","1",,"NA"
"2009","EE",931,117.726082578046,"NA","1","2009","10","1",1967,"1","1","3","EE","1","NA","3","NA","NA","NA","2","NA","3","8","40","NA","NA","13","NA","2","2","NA","NA","22","1","1","1","1","NA","1","6","1","1","1","1","1","2","1","3","2","NA","2","NA",0,0,0,10522,0,0,2123,1,0,0,0,0,0,0,0,0,0,0,1,"1","1","1","1","3","1","1",93,"1","1",,,,,41,"2","1",,"b-e"
"2009","EE",1041,117.726082578046,"NA","1","2009","12","4",1943,"2","4","3","EE","2","NA","2","NA","NA","1","2","NA","3","8","NA","NA","NA","NA","1","2","NA","NA","NA","18","1","8","6","6","6","4","6","6","6","6","5","6","2","1","1","2","NA","2","1",0,0,0,0,0,0,1310,1,0,936,0,0,0,2067,0,0,0,0,1,"1","1","1","4","2","1","1",104,"1","7",,,,,65,"5","1",,"NA"
"2009","EE",1731,117.726082578046,"NA","1","2009","17","3",1974,"1","2","3","Other","2","NA","3","NA","NA","NA","NA","NA","3","7","40","NA","NA","13","NA","2","2","NA","NA","21","1","1","1","1","1","1","1","1","1","1","1","1","2","NA","3","2","NA","2","NA",0,0,25,0,0,0,3328,1,0,33327,0,0,0,0,0,0,0,0,1,"1","1","3","2","1","1","1",173,"1","3",,,,,34,"8","1",,"h"
"2009","EE",2011,117.726082578046,"NA","2","2009","20","3",1943,"2","4","1","EE","2","NA","3","NA","NA","NA","1","NA","3","4","40","NA","NA","11","1","2","2","NA","NA","18","5","6","6","6","1","2","6","1","6","6","1","1","3","2","3","2","NA","2","1",0,0,14,0,0,0,2773,1,0,0,0,0,0,4673,0,0,0,0,1,"1","1","1","5","1","1","1",201,"1","7",,,,,65,"2","1",,"NA"
"2009","EE",2141,117.726082578046,"NA","1","2009","10","1",1939,"2","4","3","EE","2","NA","5","NA","NA","NA","2","NA","3","3","20","NA","NA","4","1","2","NA","NA","NA","18","8","6","1","5","6","3","6","6","6","6","2","1","1","1","2","2","NA","2","NA",0,0,81,0,0,0,4158,1,0,0,75,0,0,3698,0,0,0,0,1,"1","1","1","3","2","1","1",214,"1","7",,,,,69,"2","1",,"NA"
"2009","EE",2301,117.726082578046,"NA","2","2009","3","2",1928,"2","2","3","Other","2","NA","1","NA","NA","1","2","NA","3","9","NA","NA","NA","NA","1","2","NA","NA","NA","15","7","6","6","6","6","6","6","1","6","1","NA","6","2","2","3","2","NA","2","NA",0,0,53,0,0,0,0,1,0,0,14,0,0,2935,0,0,0,0,1,"1","1","1","2","1","1","1",230,"1","7",,,,,80,"7","1",,"NA"
"2009","EE",2381,117.726082578046,"NA","1","2009","8","2",1971,"2","2","1","EE","2","NA","3","NA","NA","1","NA","1","3","3","40","NA","NA","12","1","2","2","NA","NA","22","1","1","1","1","1","3","1","1","1","1","1","1","NA","2","3","2","NA","2","NA",0,0,0,13614,0,0,1147,1,0,0,0,0,0,0,0,0,0,0,1,"1","2","1","5","3","3","1",238,"1","1",,,,,37,"7","1",,"b-e"
