"DB010","DB020","DB030","DB040","DB062","DB090"
"2010","EE",7,"EE00","NA","148.4221"
"2010","EE",49,"EE00","NA","55.57951"
"2010","EE",78,"EE00","NA","207.4359"
"2010","EE",93,"EE00","NA","129.2365"
"2010","EE",104,"EE00","NA","10.88664"
"2010","EE",172,"EE00","NA","238.4327"
"2010","EE",201,"EE00","NA","166.4651"
"2010","EE",214,"EE00","NA","333.6893"
"2010","EE",230,"EE00","NA","68.90283"
"2010","EE",238,"EE00","NA","179.0264"
"2010","EE",259,"EE00","NA","273.5125"
"2010","EE",263,"EE00","NA","336.4618"
"2010","EE",268,"EE00","NA","86.58245"
"2010","EE",299,"EE00","NA","474.7783"
"2010","EE",336,"EE00","NA","240.865"
"2010","EE",338,"EE00","NA","158.7004"
"2010","EE",400,"EE00","NA","273.826"
"2010","EE",407,"EE00","NA","350.3887"
"2010","EE",454,"EE00","NA","302.5741"
"2010","EE",460,"EE00","NA","308.0699"
"2010","EE",467,"EE00","NA","43.54601"
"2010","EE",473,"EE00","NA","268.221"
"2010","EE",475,"EE00","NA","246.9828"
"2010","EE",489,"EE00","NA","255.3917"
"2010","EE",504,"EE00","NA","136.8496"
"2010","EE",518,"EE00","NA","187.4926"
"2010","EE",532,"EE00","NA","87.42831"
"2010","EE",540,"EE00","NA","60.66077"
"2010","EE",571,"EE00","NA","79.1938"
"2010","EE",598,"EE00","NA","56.88319"
"2010","EE",623,"EE00","NA","290.3565"
"2010","EE",663,"EE00","NA","149.9166"
"2010","EE",670,"EE00","NA","143.6473"
"2010","EE",676,"EE00","NA","69.2923"
"2010","EE",678,"EE00","NA","317.6255"
"2010","EE",703,"EE00","NA","470.5231"
"2010","EE",707,"EE00","NA","253.8748"
"2010","EE",709,"EE00","NA","117.7718"
"2010","EE",711,"EE00","NA","333.6893"
"2010","EE",715,"EE00","NA","119.2247"
"2010","EE",723,"EE00","NA","83.85743"
"2010","EE",727,"EE00","NA","64.50779"
"2010","EE",737,"EE00","NA","151.2574"
"2010","EE",769,"EE00","NA","89.6133"
"2010","EE",819,"EE00","NA","369.1361"
"2010","EE",853,"EE00","NA","103.3292"
"2010","EE",862,"EE00","NA","228.9788"
"2010","EE",877,"EE00","NA","318.2492"
"2010","EE",886,"EE00","NA","93.21335"
"2010","EE",944,"EE00","NA","65.29843"
"2010","EE",946,"EE00","NA","132.0244"
"2010","EE",1002,"EE00","NA","46.1548"
"2010","EE",1053,"EE00","NA","763.2632"
"2010","EE",1059,"EE00","NA","170.5011"
"2010","EE",1067,"EE00","NA","144.0748"
"2010","EE",1080,"EE00","NA","111.1841"
"2010","EE",1118,"EE00","NA","153.0406"
"2010","EE",1128,"EE00","NA","254.0245"
"2010","EE",1161,"EE00","NA","249.5459"
"2010","EE",1164,"EE00","NA","210.8307"
"2010","EE",1199,"EE00","NA","52.93667"
"2010","EE",1222,"EE00","NA","125.0055"
"2010","EE",1224,"EE00","NA","89.81845"
"2010","EE",1229,"EE00","NA","376.7706"
"2010","EE",1241,"EE00","NA","159.8808"
"2010","EE",1275,"EE00","NA","78.38725"
"2010","EE",1307,"EE00","NA","179.8567"
"2010","EE",1308,"EE00","NA","57.37504"
"2010","EE",1326,"EE00","NA","131.843"
"2010","EE",1345,"EE00","NA","164.9233"
"2010","EE",1355,"EE00","NA","314.4186"
"2010","EE",1357,"EE00","NA","531.2903"
"2010","EE",1358,"EE00","NA","109.4781"
"2010","EE",1364,"EE00","NA","138.468"
"2010","EE",1391,"EE00","NA","308.2991"
"2010","EE",1402,"EE00","NA","215.2051"
"2010","EE",1404,"EE00","NA","63.63178"
"2010","EE",1424,"EE00","NA","55.57951"
"2010","EE",1432,"EE00","NA","178.7409"
"2010","EE",1478,"EE00","NA","74.88614"
"2010","EE",1499,"EE00","NA","74.9007"
"2010","EE",1539,"EE00","NA","474.7783"
"2010","EE",1543,"EE00","NA","135.9733"
"2010","EE",1578,"EE00","NA","99.15045"
"2010","EE",1605,"EE00","NA","277.354"
"2010","EE",1663,"EE00","NA","101.9922"
"2010","EE",1666,"EE00","NA","180.0394"
"2010","EE",1690,"EE00","NA","298.4505"
"2010","EE",1692,"EE00","NA","267.499"
"2010","EE",1705,"EE00","NA","55.454"
"2010","EE",1709,"EE00","NA","116.5216"
"2010","EE",1718,"EE00","NA","202.1741"
"2010","EE",1719,"EE00","NA","138.8561"
"2010","EE",1768,"EE00","NA","184.4696"
"2010","EE",1790,"EE00","NA","45.26567"
"2010","EE",1792,"EE00","NA","156.5052"
"2010","EE",1796,"EE00","NA","201.9657"
"2010","EE",1823,"EE00","NA","164.2232"
"2010","EE",1898,"EE00","NA","215.5539"
"2010","EE",1923,"EE00","NA","255.3917"
"2010","EE",1932,"EE00","NA","28.56655"
"2010","EE",2000,"EE00","NA","350.7159"
"2010","EE",2018,"EE00","NA","103.9904"
"2010","EE",2035,"EE00","NA","112.6243"
"2010","EE",2076,"EE00","NA","147.6229"
"2010","EE",2088,"EE00","NA","269.1808"
"2010","EE",2104,"EE00","NA","646.7157"
"2010","EE",2117,"EE00","NA","146.0162"
"2010","EE",2158,"EE00","NA","44.56266"
"2010","EE",2188,"EE00","NA","68.90283"
"2010","EE",2200,"EE00","NA","161.2201"
"2010","EE",2228,"EE00","NA","148.8273"
"2010","EE",2321,"EE00","NA","86.71346"
"2010","EE",2380,"EE00","NA","399.0484"
"2010","EE",2390,"EE00","NA","51.01754"
"2010","EE",2392,"EE00","NA","436.4446"
"2010","EE",2421,"EE00","NA","347.536"
"2010","EE",2495,"EE00","NA","170.0259"
"2010","EE",2497,"EE00","NA","73.64498"
"2010","EE",2502,"EE00","NA","638.2958"
"2010","EE",2515,"EE00","NA","69.50011"
"2010","EE",2521,"EE00","NA","118.3483"
"2010","EE",2533,"EE00","NA","40.29272"
"2010","EE",2541,"EE00","NA","120.9228"
"2010","EE",2549,"EE00","NA","240.9922"
"2010","EE",2553,"EE00","NA","22.07895"
"2010","EE",2558,"EE00","NA","520.9892"
"2010","EE",2564,"EE00","NA","124.8643"
"2010","EE",2594,"EE00","NA","85.1006"
"2010","EE",2618,"EE00","NA","71.89173"
"2010","EE",2649,"EE00","NA","112.1801"
"2010","EE",2655,"EE00","NA","646.7157"
"2010","EE",2657,"EE00","NA","159.5375"
"2010","EE",2667,"EE00","NA","107.0185"
"2010","EE",2686,"EE00","NA","189.9893"
"2010","EE",2709,"EE00","NA","55.81805"
"2010","EE",2720,"EE00","NA","109.5386"
"2010","EE",2722,"EE00","NA","193.5382"
"2010","EE",2773,"EE00","NA","129.5706"
"2010","EE",2789,"EE00","NA","174.271"
"2010","EE",2833,"EE00","NA","125.2556"
"2010","EE",2892,"EE00","NA","452.6469"
"2010","EE",2903,"EE00","NA","76.98196"
"2010","EE",2961,"EE00","NA","116.8347"
"2010","EE",3022,"EE00","NA","88.45309"
"2010","EE",3035,"EE00","NA","61.01691"
"2010","EE",3098,"EE00","NA","29.80447"
"2010","EE",3109,"EE00","NA","203.0306"
"2010","EE",3176,"EE00","NA","130.7778"
"2010","EE",3206,"EE00","NA","86.83693"
"2010","EE",3219,"EE00","NA","178.9241"
"2010","EE",3232,"EE00","NA","65.97503"
"2010","EE",3305,"EE00","NA","67.97381"
"2010","EE",3361,"EE00","NA","65.16451"
"2010","EE",3374,"EE00","NA","200.1642"
"2010","EE",3392,"EE00","NA","68.99531"
"2010","EE",3432,"EE00","NA","181.5748"
"2010","EE",3438,"EE00","NA","198.9553"
"2010","EE",3448,"EE00","NA","126.2018"
"2010","EE",3465,"EE00","NA","101.9628"
"2010","EE",3504,"EE00","NA","229.0175"
"2010","EE",3513,"EE00","NA","318.2547"
"2010","EE",3517,"EE00","NA","41.07018"
"2010","EE",3538,"EE00","NA","54.51433"
"2010","EE",3563,"EE00","NA","180.7464"
"2010","EE",3586,"EE00","NA","388.6953"
"2010","EE",3619,"EE00","NA","241.4161"
"2010","EE",3695,"EE00","NA","301.5622"
"2010","EE",3696,"EE00","NA","184.9299"
"2010","EE",3738,"EE00","NA","140.1483"
"2010","EE",3752,"EE00","NA","228.9788"
"2010","EE",3767,"EE00","NA","101.446"
"2010","EE",3769,"EE00","NA","138.9495"
"2010","EE",3801,"EE00","NA","204.6239"
"2010","EE",3825,"EE00","NA","206.5507"
"2010","EE",3859,"EE00","NA","55.34198"
"2010","EE",3897,"EE00","NA","156.8363"
"2010","EE",3951,"EE00","NA","256.7531"
"2010","EE",3952,"EE00","NA","436.4446"
"2010","EE",4007,"EE00","NA","376.7706"
"2010","EE",4009,"EE00","NA","78.8296"
"2010","EE",4013,"EE00","NA","56.61838"
"2010","EE",4034,"EE00","NA","273.9598"
"2010","EE",4060,"EE00","NA","88.86431"
"2010","EE",4094,"EE00","NA","97.42812"
"2010","EE",4102,"EE00","NA","107.9247"
"2010","EE",4111,"EE00","NA","123.0089"
"2010","EE",4122,"EE00","NA","86.74621"
"2010","EE",4123,"EE00","NA","100.9765"
"2010","EE",4151,"EE00","NA","87.7282"
"2010","EE",4160,"EE00","NA","218.6099"
"2010","EE",4174,"EE00","NA","62.73419"
"2010","EE",4225,"EE00","NA","167.4975"
"2010","EE",4276,"EE00","NA","15.41371"
"2010","EE",4286,"EE00","NA","151.6621"
"2010","EE",4368,"EE00","NA","118.4215"
"2010","EE",4387,"EE00","NA","175.084"
"2010","EE",4450,"EE00","NA","63.36041"
"2010","EE",4562,"EE00","NA","104.0505"
"2010","EE",4580,"EE00","NA","242.706"
"2010","EE",4600,"EE00","NA","362.8256"
"2010","EE",4604,"EE00","NA","388.6953"
"2010","EE",4619,"EE00","NA","105.4371"
"2010","EE",4626,"EE00","NA","112.1244"
"2010","EE",4648,"EE00","NA","109.5386"
"2010","EE",4675,"EE00","NA","436.6965"
"2010","EE",4704,"EE00","NA","112.3546"
"2010","EE",4726,"EE00","NA","507.0953"
"2010","EE",4739,"EE00","NA","223.4935"
"2010","EE",4744,"EE00","NA","191.4458"
"2010","EE",4794,"EE00","NA","159.2574"
"2010","EE",4800,"EE00","NA","116.2352"
"2010","EE",4803,"EE00","NA","456.5464"
"2010","EE",4836,"EE00","NA","330.163"
"2010","EE",4854,"EE00","NA","100.5026"
"2010","EE",4868,"EE00","NA","562.3116"
"2010","EE",4878,"EE00","NA","207.908"
"2010","EE",4901,"EE00","NA","133.1062"
"2010","EE",4914,"EE00","NA","174.1345"
"2010","EE",5000,"EE00","NA","374.3453"
"2010","EE",5029,"EE00","NA","106.3264"
"2010","EE",5048,"EE00","NA","68.03191"
"2010","EE",5058,"EE00","NA","122.5131"
"2010","EE",5073,"EE00","NA","164.9648"
"2010","EE",5093,"EE00","NA","236.0739"
"2010","EE",5102,"EE00","NA","56.8788"
"2010","EE",5107,"EE00","NA","252.5361"
"2010","EE",5121,"EE00","NA","405.4699"
"2010","EE",5122,"EE00","NA","293.4201"
