"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH080","HH081","HH090","HH091","HA010","HA020","HA030","HA040","HA050","HA060","HA070","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010","R_HA030","R_HA040","R_HA050","R_HA060","R_HA070"
"2010","EE",7,"2","2010","11",3015,2064,0,0,,,,,,,,,0,0,0,0,0,,0,,0,16,0,,936,,"NA","NA","NA","3","NA","3","2","1","2","1","1","1","1","2","2","1278.23","1","2","2","2","2","1","1","1","NA","4","2","1","NA","NA","46.27","0","NA","1","NA","1","1","1","124202","122302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",49,"1","2010","37",3140,3064,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,26,,51,,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","3","1150.41","1","2","2","2","2","2","3","1","NA","5","2","1","NA","NA","310.61","0","NA","1","NA","1","1","1","NA","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",78,"1","2010","10",6138,2940,0,0,,,,,,,,,0,0,0,0,0,,0,,0,11,0,,3188,,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","3","1278.23","1","3","2","2","2","2","1","1","NA","3","2","1","NA","NA","69.34","0","NA","1","NA","1","1","1","566401","160402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",93,"2","2010","22",791,-2436,0,0,,,,,,,,,0,0,0,0,0,,5,,0,0,0,,3227,,"NA","3","NA","3","NA","3","2","1","1","1","3","1","1","1","3","3834.7","1","2","2","2","2","2","4","1","NA","4","2","1","NA","NA","189.82","31.12","NA","1","NA","1","2","1","235601","256302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",104,"1","2010","12",7443,7427,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","3","1","2","1","639.12","2","NA","2","2","2","2","4","1","NA","1","1","1","NA","NA","116.51","0","NA","1","NA","1","1","NA","610402","541401","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",172,"2","2010","15",3360,3335,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,24,,"NA","NA","NA","3","NA","NA","2","1","2","2","1","1","1","1","2","383.47","2","NA","2","2","2","2","1","1","NA","5","2","1","NA","NA","114.72","0","NA","1","NA","1","2","NA","584201","576302","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",201,"1","2010","28",2874,2864,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10,,"NA","3","NA","3","NA","NA","2","1","1","1","1","1","1","1","4","319.56","2","NA","2","2","2","2","4","1","NA","2","2","1","NA","NA","14.7","0","NA","3","NA","3","3","1","200201","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",214,"2","2010","12",3059,3059,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1,0,,0,,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","2","1278.23","2","NA","2","2","2","2","4","1","NA","3","2","1","NA","NA","100.72","0","NA","1","NA","1","2","NA","336601","NA","5","NA","NA","1",1,,,,,,,,,,,
"2010","EE",230,"2","2010","13",8020,6007,0,0,,,,,,,,,0,0,0,0,0,,1,,0,231,0,,1782,,"NA","NA","NA","3","NA","3","2","1","2","1","1","1","1","2","2","383.47","1","NA","1","2","2","2","4","1","NA","1","2","1","NA","NA","317.45","0","NA","3","NA","1","1","1","394901","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",238,"1","2010","21",6310,5629,0,0,,,,,,,,,0,0,0,0,0,,0,,0,681,0,,0,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","2","3","958.67","1","2","2","2","2","2","4","4","NA","2","2","1","NA","NA","201.26","0","NA","3","NA","1","1","1","24401","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",259,"1","2010","9",2330,2300,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,31,,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","2","4","1150.41","2","NA","1","2","1","2","4","4","NA","3","2","1","NA","NA","68.58","0","NA","1","NA","1","1","1","417801","411501","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",263,"2","2010","18",6103,3765,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2338,0,,0,,"NA","3","NA","3","NA","3","2","1","2","1","1","1","1","1","3","639.12","2","NA","2","2","2","2","1","1","NA","3","2","1","NA","NA","227.4","0","NA","1","NA","1","2","1","122303","495802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",268,"1","2010","16",0,-60,0,0,,,,,,,,,0,0,0,0,0,,0,,0,60,0,,0,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","1","1","1","2","575.2","2","2","2","2","2","2","4","3","NA","3","2","1","306.78","NA","135.75","0","NA","3","NA","1","NA","1","366201","548802","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",299,"2","2010","7",3683,2875,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,808,,"NA","NA","NA","3","NA","3","1","1","2","1","1","1","1","1","3","1725.61","2","2","2","2","2","2","4","1","NA","1","2","1","NA","NA","162.34","378.8","NA","1","NA","1","1","1","606701","182002","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",336,"2","2010","31",23394,21468,0,0,,,,,,,,,0,0,0,0,0,,0,,0,168,0,,1758,,"NA","2","NA","3","NA","3","1","1","2","1","3","1","1","3","3","958.67","2","2","2","2","2","2","4","1","NA","2","2","1","NA","NA","55.6","0","NA","1","NA","1","1","NA","NA","259402","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",338,"1","2010","10",3081,3018,0,0,,,,,,,,,0,0,0,0,0,,9,,0,63,0,,0,,"NA","NA","NA","3","NA","NA","2","2","2","1","1","1","1","1","3","383.47","3","3","2","2","2","1","4","1","NA","1","2","1","NA","NA","169.37","0","NA","1","NA","1","1","1","NA","450602","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",400,"1","2010","4",2850,2838,0,0,,,,,,,,,0,0,0,0,0,,2,,0,1,0,,12,,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","3","1","3","319.56","1","NA","2","2","2","2","1","1","NA","2","1","1","NA","NA","56.69","0","NA","1","NA","1","NA","1","109501","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",407,"1","2010","11",3230,2454,0,0,,,,,,,,,0,0,0,0,0,,0,,0,776,0,,0,,"NA","NA","NA","3","NA","NA","1","1","2","1","1","3","2","1","5","958.67","1","NA","2","2","2","2","4","4","NA","4","2","1","NA","NA","71.58","0","NA","1","NA","1","2","1","422101","NA","NA","NA","NA","1",1,,,,,,,,,,,
"2010","EE",454,"1","2010","12",3483,3481,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,,"NA","NA","NA","1","NA","NA","2","1","1","1","1","1","1","1","5","766.94","2","NA","1","2","2","2","4","1","NA","1","2","1","NA","NA","47.29","0","NA","1","NA","1","1","1","545401","NA","NA","NA","NA","1",1,,,,,,,,,,,
