"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PA010","PA020","PA030","PA040","PA050","PA060","PA070","PA080","PA090","PA100","PA110","PA120","PA130","PA140","PA150","PA160","pl030","pl030_f","pl070","pl070_f","pl072","pl072_f","pl110_f","PY070N","PY070G","PX030","PX040","PL051","PX020","PX050","PX010","PL110","PL111"
"2010","EE",71,117.439662107804,"NA","2","2010","5","4",1953,"1","2","1","Other","2","5","3","3","NA","1","2","NA","3","91","20","NA","NA","NA","1","2","NA","NA","3","17","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","3","2","NA","2","5",0,0,0,0,0,1317,1,0,3015,0,0,0,0,0,0,0,1,"5","NA","NA","NA","2","2","NA","2","1","NA","34","NA","NA","NA","NA","NA",,,,,,,,1,1,7,"1","7",56,"7","1",,"l-n"
"2010","EE",491,117.439662107804,"NA","1","2010","5","3",1932,"2","4","3","EE","2","NA","3","7","NA","1","2","NA","3","52","NA","NA","NA","NA","1","2","NA","NA","NA","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","2","NA","2","NA",204,0,0,0,0,902,1,0,0,0,0,3140,0,0,0,0,1,"NA","1","NA","NA","NA","2","2","NA","2","NA","22","NA","NA","NA","NA","NA",,,,,,,,1,1,49,"1","0 - 1",77,"2","1",,"NA"
"2010","EE",781,117.439662107804,"NA","2","2010","6","1",1945,"2","2","3","EE","2","NA","5","1","NA","NA","2","NA","3","51","40","NA","NA","13","1","2","2","NA","NA","23","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",0,0,5913,0,0,0,1,0,0,0,0,0,0,225,0,0,1,"4","1","3","2","2","2","2","NA","1","NA","32","NA","NA","NA","NA","NA",,,,,,,,1,1,78,"1","4",64,"7","1",,"q"
"2010","EE",931,117.439662107804,"NA","1","2010","15","2",1964,"1","1","3","EE","2","5","3","1","NA","2","1","NA","3","13","NA","NA","NA","NA","1","NA","NA","NA","NA","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","1","2","NA",0,0,709,25,0,2654,1,0,0,0,0,0,0,76,0,0,1,"6","1","3","NA","NA","2","NA","NA","3","NA","NA","NA","NA","NA","NA","NA",,,,,,,,1,1,93,"1","7",45,"2","1",,"f"
"2010","EE",1041,117.439662107804,"NA","2","2010","NA","4",1935,"2","2","2","Other","2","NA","5","7","NA","NA","NA","NA","3","41","40","NA","NA","4","1","2","2","NA","NA","22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","1","NA","2","NA",0,0,0,0,0,1444,1,0,0,0,0,7443,0,0,0,0,1,"1","1","3","NA","NA","2","NA","NA","1","NA","7","NA","NA","NA","NA","NA",,,,,,,,1,1,104,"1","4",74,"6","1",,"NA"
"2010","EE",1721,117.439662107804,"NA","1","2010","25","4",1943,"2","4","3","EE","2","NA","2","7","NA","1","2","NA","3","71","NA","NA","NA","NA","1","2","2","NA","NA","16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","3","2","NA","2","NA",0,0,0,0,0,2520,1,0,0,0,0,3360,0,0,0,0,1,"1","1","NA","NA","2","2","NA","2","2","NA","6","NA","NA","NA","NA","NA",,,,,,,,1,1,172,"1","5",66,"6","1",,"NA"
"2010","EE",2011,117.439662107804,"NA","1","2010","6","4",1929,"2","4","1","EE","2","NA","1","7","NA","NA","NA","1","3","91","NA","NA","NA","NA","1","2","NA","NA","NA","21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","2","2","NA","1","NA",0,0,0,0,0,0,1,639,0,0,0,2874,0,0,0,0,1,"1","1","NA","NA","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA",,,,,,,,1,1,201,"1","9",80,"7","1",,"NA"
"2010","EE",2141,117.439662107804,"NA","1","NA","5","4",1929,"2","4","3","EE","2","NA","3","7","NA","NA","NA","NA","2","91","NA","NA","NA","NA","1","2","NA","NA","NA","22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","2","NA","1","NA",0,0,0,0,0,0,1,0,0,0,0,3059,0,0,0,0,1,"5","NA","NA","NA","NA","NA","2","2","NA","NA","8","NA","NA","NA","NA","NA",,,,,,,,1,1,214,"1","3",80,"2","1",,"NA"
"2010","EE",2301,117.439662107804,"NA","1","2010","3","4",1971,"2","2","3","EE","2","NA","5","1","NA","NA","2","NA","3","72","50","NA","NA","11","1","2","1","NA","3","19","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","2","NA","2","NA",0,0,8019,0,0,9883,1,0,0,0,0,0,0,0,0,0,1,"2","1","1","NA","NA","4","NA","NA","3","NA","7","NA","NA","NA","NA","NA",,,,,,,,1,1,230,"1","0 - 1",38,"7","1",,"i"
"2010","EE",2381,117.439662107804,"NA","2","2010","6","2",1929,"2","2","1","EE","2","NA","2","7","NA","NA","NA","NA","3","83","48","NA","NA","11","1","2","2","NA","NA","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,6310,0,0,0,0,1,"3","NA","1","NA","2","2","NA","2","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,1,1,238,"1","5",80,"2","1",,"NA"
