"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2010","EE",71,117.439662107804,"2",1953,"1","1","4","1","NA","2","NA","NA","NA","NA","0","NA",7,56,"0","99","0","100",57
"2010","EE",491,117.439662107804,"2",1932,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",49,77,"0","1","0","0",77
"2010","EE",781,117.439662107804,"2",1945,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",78,64,"1","1","0","100",64
"2010","EE",931,117.439662107804,"4",1964,"1","1","3","1","14","2","NA","NA","0","NA","NA","NA",93,45,"0","99","0","0",45
"2010","EE",1041,117.439662107804,"3",1935,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",104,74,"2","99","1","0",75
"2010","EE",1721,117.439662107804,"2",1943,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",172,66,"0","0.9345238095","0","0",66
"2010","EE",2011,117.439662107804,"3",1929,"2","1","4","1","11","2","NA","NA","10","NA","0","NA",201,80,"2","0.6666666667","0","0",80
"2010","EE",2141,117.439662107804,"1",1929,"2","1","4","1","11","2","NA","NA","0","NA","NA","10",214,80,"0","1","0","0",80
"2010","EE",2301,117.439662107804,"2",1971,"2","1","1","1","11","5","NA","NA","NA","NA","NA","0",230,38,"0","0.5","0","0",38
"2010","EE",2381,117.439662107804,"3",1929,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",238,80,"0","0","1","0",80
"2010","EE",2591,117.439662107804,"3",1952,"2","1","4","1","11","2","NA","NA","NA","0","0","NA",259,57,"2","1","0","100",57
"2010","EE",2631,117.439662107804,"3",1939,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",263,70,"0","1","0","0",70
"2010","EE",2681,117.439662107804,"4",1975,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",268,34,"0","0.7083333333","0","1",34
"2010","EE",2991,117.439662107804,"4",1944,"1","1","1","1","NA","5","NA","NA","NA","NA","NA","NA",299,65,"2","1","1","0",66
"2010","EE",3361,117.439662107804,"1",1979,"1","1","3","1","11","2","0","NA","NA","NA","NA","NA",336,30,"0","99","0","0",31
"2010","EE",3381,117.439662107804,"4",1937,"2","1","3","4","11","2","NA","25","NA","NA","NA","NA",338,72,"0","1","0","10",73
"2010","EE",4001,117.439662107804,"3",1933,"2","1","2","1","11","2","NA","NA","0","NA","0","NA",400,76,"0","1","0","0",76
