"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","EE",7,"1","2011","13",6105,6105,0,0,,,,,,,,,0,0,0,2043,0,,1,,0,0,0,,0,,"NA","2","NA","2","1","2","1","1","3","1","1","3","600","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","628.57","0","1","1",,"1",1,,,,,
"2011","EE",49,"2","2011","41",3084,1094,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1990,0,,0,,"3","3","3","1","1","1","1","1","1","1","1","1","640.01","2","NA","2","1","2","2","1","1","3","2","1","NA","NA","80.98","0","1","1",,"1",1,,,,,
"2011","EE",78,"1","2011","16",5657,5655,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2,,"3","3","NA","1","1","2","1","1","1","1","1","2","1000.03","3","NA","2","2","2","2","3","1","3","2","1","31.96","NA","173.65","110.95","1","1",,"1",1,,,,,
"2011","EE",93,"1","2011","19",17938,17356,0,0,,,,,,,,,0,0,0,0,0,,0,,0,79,0,,502,,"NA","NA","NA","2","1","2","1","1","3","1","2","4","1500.01","2","1","2","2","2","1","4","1","3","2","1","NA","NA","122.84","240.82","1","1",,"1",1,,,,,
"2011","EE",105,"2","2011","20",4783,3976,0,0,,,,,,,,,0,0,0,0,0,,0,,0,28,0,,779,,"3","NA","NA","2","1","2","1","1","1","1","1","4","1500.01","2","NA","2","2","2","2","1","1","3","2","1","NA","NA","92.99","0","1","1",,"1",1,,,,,
"2011","EE",173,"1","2011","13",2571,-122,0,0,,,,,,,,,0,0,0,0,0,,0,,0,2693,0,,0,,"NA","3","2","1","1","2","1","1","1","3","1","5","1917.35","1","1","2","2","2","2","4","1","4","2","1","NA","NA","259.42","0","3","1",,"1",1,,,,,
"2011","EE",201,"2","2011","12",2181,2174,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7,,"NA","3","3","2","1","2","1","1","1","1","1","3","1000.03","2","NA","1","2","2","2","4","1","4","2","2","NA","NA","138.69","0","3","3",,"1",1,,,,,
"2011","EE",214,"2","2011","22",4794,4766,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,28,,"NA","3","3","2","1","2","1","1","1","1","3","4","511.29","2","3","2","2","2","2","4","1","4","2","1","NA","NA","163.04","87.88","1","1",,"1",1,,,,,
"2011","EE",231,"1","2011","19",4344,4318,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,25,,"NA","3","NA","1","1","1","1","1","1","1","2","2","700.02","1","3","2","2","2","2","4","1","2","1","1","NA","NA","223.24","0","1","1",,"1",1,,,,,
"2011","EE",239,"1","2011","16",10620,10111,0,0,,,,,,,,,0,0,0,0,0,,0,,0,509,0,,0,,"3","3","3","1","1","1","1","1","1","1","1","6","1500.01","2","2","2","2","1","1","4","2","4","1","1","NA","NA","81.62","205.8","1","1",,"1",1,,,,,
