"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL050","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PT005","PT010","PT020","PT030","PT040","PT050","PT060","PT070","PT080","PT090","PT100","PT110","PT120","PT130","PT140","PT150","PT160","PT170","PT180","PT190","PT200","PT210"
"2011","EE",71,117.21209693571,"NA","2","2011","12","4",1930,"2","4","2","EE","2","NA","3","7","NA","NA","2","NA","3","74","9","NA","NA","NA","NA","NA","1","2","NA","NA","NA","22","NA","1","1","2","NA","2","NA",91,0,0,0,0,3617,1,0,0,0,0,4062,0,0,0,0,1,"1",80,7,"1","5","0","1","NA","NA","1","NA","1","NA","NA","NA","NA","2","NA","NA","1","7","NA","2","NA","NA","4","NA"
"2011","EE",491,117.21209693571,"NA","1","2011","20","4",1961,"1","2","3","Other","2","NA","3","1","NA","NA","2","1","3","24","8","NA","NA","h","NA","13","1","2","NA","NA","NA","20","3","1","1","2","NA","2","NA",0,0,3084,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",49,49,"1","2","271.575","1","NA","NA","NA","NA","NA","2","NA","2","-1","NA","1","NA","NA","NA","NA","2","3","NA","NA","1"
"2011","EE",781,117.21209693571,"NA","1","2011","17","4",1930,"2","2","3","Other","2","NA","3","7","NA","NA","2","NA","3","51","5","40","NA","NA","NA","12","1","2","2","NA","NA","21","2","1","3","2","NA","2","NA",0,0,0,0,0,0,1,0,0,0,0,5657,0,0,0,0,1,"1",80,78,"1","7","156.3402","1","3","1","1","1930","NA","1","NA","2","2","2","2","1","2","8","1","2","NA","4","NA","1"
"2011","EE",931,117.21209693571,"NA","2","2011","11","2",1969,"1","2","1","EE","2","NA","5","1","NA","NA","NA","NA","3","31","5","60","NA","h","NA","14","1","2","2","NA","10","21","2","2","3","2","NA","2","NA",0,0,17937,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",41,93,"1","2","83.55438","3","2","4","2","1954","1","1","NA","1","1","2","2","NA","1","NA","1","2","4","4","4","1"
"2011","EE",1051,117.21209693571,"NA","2","2011","6","1",1970,"2","5","1","EE","2","NA","5","1","NA","1","2","NA","3","72","3","NA","NA","q","NA","12","1","2","2","NA","NA","15","NA","2","3","2","2","2","NA",0,0,4783,0,0,2346,1,230,0,0,0,0,0,0,0,0,1,"1",40,105,"1","2","0","NA","NA","NA","NA","1937","2","NA","1931","NA","NA","NA","NA","NA","NA","9","NA","2","NA","NA","NA","NA"
"2011","EE",1731,117.21209693571,"NA","2","2011","8","2",1945,"2","5","3","EE","2","NA","5","4","NA","1","2","NA","3","NA","2","NA","NA","l-n","NA","NA","1","2","NA","NA","3","18","4","2","3","1","NA","NA","1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2571,0,1,"1",65,173,"1","7","0","3","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","8","NA","4","NA"
"2011","EE",2011,117.21209693571,"NA","2","2011","34","3",1985,"1","1","3","EE","2","NA","3","5","NA","1","2","NA","3","93","7","40","NA","NA","NA","NA","1","2","NA","NA","3","19","NA","2","3","2","NA","2","NA",441,0,2181,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1",25,201,"1","6","0","3","3","2","2","NA","NA","NA","NA","2","2","2","NA","NA","NA","NA","NA","NA","8","NA","NA","1"
"2011","EE",2141,117.21209693571,"NA","2","2011","22","4",1930,"2","4","2","Other","2","NA","2","7","NA","NA","2","NA","3","51","5","NA","NA","NA","NA","NA","1","2","NA","NA","NA","18","4","1","3","2","NA","2","NA",141,0,0,0,0,4931,1,0,0,0,0,3238,0,0,1556,0,1,"1",80,214,"1","6","0","NA","1","NA","NA","NA","2","NA","NA","2","NA","NA","1","1","2","NA","NA","NA","NA","4","NA","NA"
"2011","EE",2311,117.21209693571,"NA","2","2011","18","2",1945,"2","2","1","EE","2","NA","5","7","NA","1","2","NA","3","83","5","40","NA","NA","NA","12","1","2","NA","NA","NA","17","NA","2","3","2","NA","2","NA",0,0,0,0,0,2243,1,0,0,0,0,4344,0,0,0,0,1,"1",65,231,"1","6","139.2659","NA","2","NA","NA","NA","NA","NA","1942","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","3","NA","1"
"2011","EE",2391,117.21209693571,"NA","2","2011","8","2",1948,"2","2","3","Other","2","NA","5","1","NA","NA","NA","NA","3","21","8","40","NA","b-e","NA","7","1","1","2","NA","NA","20","NA","2","3","2","NA","2","NA",0,0,5366,0,0,0,1,0,0,0,0,5254,0,0,0,0,1,"1",62,239,"1","2","137.028","1","2","NA","1","1950","NA","2","1928","1","NA","2","1","NA","1","1","1","2","2","5","4","1"
