"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","EE",7,"2","2012","29",3737,3728,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9,,"NA","3","3","2","1","2","1","1","3","1","2","3","300","2","1","2","2","2","1","4","1","3","2","1","NA","NA","132.7","NA","3","1",,"1",1,,,,,,"2","47","2","1","1","1","1","4","4","1","3","3","4","NA","3","NA"
"2012","EE",50,"2","2012","40",2560,2559,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,0,,"NA","3","NA","2","1","2","1","1","3","1","3","3","700","1","NA","2","2","2","2","1","5","3","1","1","NA","NA","216.12","NA","1","1",,"1",1,,,,,,"2","48","1","1","2","1","1","3","3","3","2","4","3","NA","2","NA"
"2012","EE",53,"2","2012","30",8449,7716,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,733,,"3","2","2","1","1","1","1","1","1","1","1","5","1300","1","3","2","1","2","2","4","1","4","2","1","NA","NA","401","NA","1","1",,"1",1,,,,,,"2","170","1","1","1","1","1","2","3","1","3","3","3","NA","3","NA"
"2012","EE",80,"2","2012","26",1131,-38,0,0,,,,,,,,,0,0,0,0,0,,0,,0,3,0,,1166,,"NA","3","2","2","1","2","1","1","1","1","2","3","300","3","2","2","1","1","2","3","1","4","1","1","NA","NA","106.41","NA","1","1",,"1",1,,,,,,"2","57","1","1","2","1","1","4","3","3","3","3","3","NA","3","NA"
"2012","EE",95,"2","2012","39",3690,3089,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,601,,"NA","3","2","1","1","1","1","1","1","1","2","2","1200","2","2","2","2","2","NA","4","3","2","2","1","NA","NA","143.1","72","1","1",,"1",1,,,,,,"2","40","1","1","1","1","1","3","4","2","4","4","4","3","3","NA"
"2012","EE",107,"1","2012","10",6797,740,0,0,,,,,,,,,0,0,0,0,0,,0,,0,6058,0,,0,,"3","2","NA","1","1","1","1","1","1","1","1","5","1000","3","2","1","2","2","2","3","2","2","2","1","NA","NA","268","NA","1","1",,"1",1,,,,,,"2","51","1","1","2","1","2","3","3","4","4","3","4","NA","3","NA"
"2012","EE",176,"1","2012","27",4677,3398,0,0,,,,,,,,,0,0,0,0,0,,5,,0,0,0,,1279,,"3","3","3","1","1","1","1","1","1","1","1","5","1700","2","1","2","2","2","2","1","2","4","2","1","NA","NA","154.8","626","1","1",,"1",1,,,,,,"2","140","1","1","1","1","2","3","3","2","3","4","1","NA","3","NA"
"2012","EE",206,"2","2012","17",3340,2216,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1124,,"3","3","NA","2","1","1","1","1","1","1","1","4","500","2","3","2","2","2","2","1","1","6","2","1","NA","NA","101","NA","1","1",,"1",1,,,,,,"1","120","1","1","1","1","2","3","2","3","1","3","3","NA","3","NA"
"2012","EE",218,"1","2012","16",7271,5154,0,0,,,,,,,,,0,0,0,0,0,,0,,0,19,0,,2097,,"NA","3","3","2","1","2","1","1","1","1","2","4","2000","2","2","2","2","2","1","4","2","1","2","1","NA","NA","176.16","NA","1","1",,"1",1,,,,,,"1","41","1","1","1","1","1","3","3","4","3","2","3","NA","2","NA"
"2012","EE",235,"1","2012","24",17202,15546,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1656,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1350","2","2","2","2","2","2","4","1","2","2","1","NA","NA","160","NA","1","1",,"1",1,,,,,,"2","68","1","1","1","1","1","3","2","2","4","3","3","NA","3","NA"
"2012","EE",243,"2","2012","11",347,335,0,0,,,,,,,,,0,0,0,347,0,,0,,0,1,0,,11,,"NA","3","NA","2","1","1","1","1","2","1","1","3","750","2","1","2","2","1","1","1","1","3","2","1","NA","NA","187.47","112","1","1",,"1",1,,,,,,"2","180","1","1","1","1","1","3","1","3","3","2","3","NA","3","NA"
"2012","EE",265,"2","2012","14",3586,3255,0,0,,,,,,,,,0,0,0,0,0,,0,,0,331,0,,0,,"NA","3","NA","2","1","1","1","1","1","1","1","3","800","2","NA","2","2","2","2","1","4","3","2","1","NA","NA","275.4","103","1","1",,"1",1,,,,,,"2","46","1","1","1","1","1","3","4","3","4","4","4","3","3","NA"
"2012","EE",269,"1","2012","7",13246,12315,0,0,,,,,,,,,0,0,0,0,0,,0,,0,658,0,,272,,"NA","3","NA","1","1","1","1","1","1","3","1","1","1000","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","73","NA","1","1",,"1",1,,,,,,"2","43","1","1","1","1","1","2","4","2","3","3","3","NA","3","NA"
"2012","EE",274,"1","2012","14",3726,3719,0,0,,,,,,,,,0,0,0,0,0,,0,,0,7,0,,0,,"NA","3","NA","1","1","2","1","1","1","1","2","3","1200","2","NA","2","2","2","2","4","1","5","1","1","NA","NA","96","NA","1","1",,"1",1,,,,,,"2","50","1","1","2","1","1","3","3","2","3","3","3","NA","3","NA"
"2012","EE",306,"1","2012","38",10771,7612,0,0,,,,,,,,,0,0,0,0,0,,0,,0,35,0,,3123,,"3","2","3","2","1","2","1","1","1","1","1","3","1000","2","1","2","2","2","2","4","2","3","2","1","NA","NA","91","NA","1","1",,"1",1,,,,,,"2","58","1","1","1","1","1","3","4","2","3","2","2","3","3","NA"
"2012","EE",332,"2","2012","31",3248,3235,0,0,,,,,,,,,0,0,0,0,0,,0,,0,13,0,,0,,"3","3","NA","2","2","1","1","1","1","1","3","3","1500","2","NA","2","2","1","2","1","1","6","2","1","NA","NA","166.47","NA","1","3",,"1",1,,,,,,"1","160","1","1","2","1","1","3","3","4","3","1","3","NA","3","NA"
"2012","EE",344,"2","2012","25",8176,12665,0,0,,,,,,,,,0,0,0,127,0,,0,,0,641,0,,-5131,,"NA","3","3","1","1","1","1","1","1","1","1","4","800","2","1","2","1","2","2","4","5","6","1","1","NA","NA","229.34","139","1","1",,"1",1,,,,,,"2","33","1","1","1","1","2","2","3","4","4","2","3","NA","3","NA"
"2012","EE",346,"2","2012","22",7637,4980,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2657,,"3","2","3","1","1","1","1","1","1","1","3","5","1500","1","NA","2","1","2","1","4","2","5","2","1","NA","NA","154.8","NA","1","1",,"1",1,,,,,,"2","126","1","1","1","1","1","3","3","3","3","4","3","NA","3","NA"
"2012","EE",368,"1","2012","12",30907,28416,0,0,,,,,,,,,0,0,0,0,21132,,0,,0,49,2442,,0,,"3","3","3","1","2","1","1","1","1","1","1","6","3000","2","3","2","2","2","2","1","3","5","1","1","350","NA","493.8","NA","1","1",,"1",1,,,,,,"2","170","1","1","2","1","1","3","2","3","3","3","3","3","3","NA"
"2012","EE",409,"1","2012","13",761,131,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,630,,"NA","3","NA","2","1","1","1","1","1","1","1","3","750","3","NA","2","2","2","2","4","1","4","2","1","104.09","NA","144","NA","3","1",,"1",1,,,,,,"2","40","1","1","1","1","1","3","3","NA","4","2","4","3","3","NA"
"2012","EE",416,"2","2012","19",3155,3034,0,0,,,,,,,,,0,0,0,0,0,,0,,0,10,0,,111,,"NA","3","3","2","1","2","1","1","1","1","3","4","500","3","2","2","2","2","2","4","4","4","2","1","NA","NA","190","NA","1","1",,"1",1,,,,,,"2","50","2","1","1","1","1","2","3","2","3","3","3","4","3","NA"
"2012","EE",465,"1","2012","14",6135,4239,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1896,0,,0,,"3","3","3","2","1","2","1","1","1","1","1","4","2500","2","1","2","2","2","2","1","2","3","1","1","NA","NA","94.5","NA","1","1",,"1",1,,,,,,"1","70","1","1","1","1","1","3","3","3","3","4","4","NA","3","NA"
"2012","EE",471,"1","2012","14",31298,28970,0,0,,,,,,,,,0,0,0,20867,0,,0,,0,2328,0,,0,,"3","3","3","1","1","1","1","1","1","1","1","6","2000","3","NA","2","2","2","2","4","2","5","2","1","NA","NA","493.8","159","1","1",,"1",1,,,,,,"2","170","1","1","2","1","1","4","3","3","3","3","3","2","3","NA"
"2012","EE",477,"2","2012","19",20675,15219,0,0,,,,,,,,,0,0,0,0,0,,15,,0,0,0,,5456,,"3","3","NA","2","1","1","1","1","1","1","1","4","1400","2","NA","2","2","2","2","1","2","3","1","1","350","NA","516","NA","1","1",,"1",1,,,,,,"2","72","1","1","1","1","1","4","2","2","3","3","2","3","3","NA"
"2012","EE",483,"1","2012","19",9230,4932,0,0,,,,,,,,,0,0,0,0,0,,0,,0,276,0,,4022,,"3","3","NA","1","1","1","1","1","1","1","1","3","2000","2","2","2","2","1","1","4","2","6","2","1","NA","NA","499.3","125","1","1",,"1",1,,,,,,"2","83","1","1","1","1","1","3","3","3","3","3","3","NA","3","NA"
"2012","EE",486,"2","2012","19",4005,3935,0,0,,,,,,,,,0,0,0,0,0,,4,,0,0,36,,34,,"3","3","NA","1","1","2","2","1","2","1","3","4","500","2","1","2","2","2","2","1","2","4","2","1","NA","NA","112.21","NA","1","1",,"1",1,,,,,,"2","67","2","1","2","1","1","2","3","3","1","2","3","NA","3","NA"
"2012","EE",501,"1","2012","15",28374,28300,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,74,,"NA","3","3","1","1","1","1","1","2","1","1","3","400","2","2","1","1","2","2","1","1","4","2","2","NA","NA","156","NA","1","1",,"1",1,,,,,,"2","59","1","1","1","1","1","4","4","3","3","2","3","2","3","NA"
