"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","EE",7,"2","2013","13",0,-32,0,0,,,,,,,,0,0,0,0,0,,0,,0,32,0,,0,,"NA","3","NA","2","1","2","1","1","1","1","1","3","1000","1","3","2","2","2","2","4","5","5","2","1","NA","NA","85.32","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",24,"2","2013","15",3324,3320,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5,,"NA","3","3","2","1","2","1","1","1","1","1","2","NA","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","50","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",49,"1","2013","33",7805,7488,0,0,,,,,,,,0,0,0,0,0,,0,,0,104,0,,212,,"3","3","3","1","1","1","1","1","1","1","3","5","2500","3","NA","1","2","2","1","1","2","3","2","1","NA","NA","381.99","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",52,"1","2013","13",16688,15222,0,0,,,,,,,,0,0,0,0,0,,0,,0,17,0,,1449,,"3","3","NA","1","1","1","1","1","1","1","1","5","2000","2","3","2","2","2","2","4","2","6","2","1","NA","NA","107","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",79,"2","2013","9",74,57,74,74,,,,,,,,74,0,0,0,0,,0,,0,0,0,,16,,"NA","3","NA","2","1","1","1","1","1","1","1","2","1500","2","NA","2","2","2","2","1","5","2","2","1","190","NA","77.3","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",94,"1","2013","15",5579,5565,0,0,,,,,,,,0,0,0,0,0,,0,,0,1,0,,13,,"2","3","3","2","1","1","1","1","1","1","1","5","2000","1","NA","2","2","2","1","4","1","4","2","1","NA","NA","298.4","206","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",105,"2","2013","25",5757,5732,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,25,,"NA","1","3","2","1","1","1","1","1","1","3","5","1600","1","3","2","2","2","1","3","2","4","2","1","NA","NA","97","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",174,"1","2013","14",21154,19765,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1389,,"NA","3","3","2","1","1","1","1","3","1","1","2","650","1","NA","2","2","2","2","4","1","3","2","1","NA","NA","98.16","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",203,"2","2013","25",3586,4122,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,-536,,"NA","3","3","1","1","1","1","1","1","1","3","2","300","3","1","2","1","2","2","4","1","2","2","1","NA","NA","34.59","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",216,"1","2013","11",6536,5970,0,0,,,,,,,,0,0,0,0,0,,0,,0,3,0,,564,,"NA","3","3","2","1","1","1","1","1","1","1","5","800","2","NA","2","1","2","1","4","1","1","2","1","NA","NA","49","300","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",233,"2","2013","14",7109,4043,0,0,,,,,,,,0,0,0,0,0,,0,,0,2792,0,,274,,"3","3","NA","1","1","1","1","1","1","1","1","5","2000","1","NA","2","2","2","1","3","1","2","2","1","NA","NA","302.2","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",241,"2","2013","10",4000,3964,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,36,,"3","3","3","2","1","1","1","1","1","1","2","2","2000","2","NA","2","2","2","2","1","2","5","2","1","NA","NA","262","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",246,"2","2013","26",3599,3588,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,12,,"3","3","3","1","1","1","1","1","1","1","1","3","1800","2","3","2","2","2","1","4","1","2","2","1","NA","NA","262.49","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",262,"1","2013","24",3410,3297,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,112,,"NA","3","NA","2","1","2","1","1","1","1","1","3","500","2","NA","2","2","2","2","4","1","3","2","1","NA","NA","224.65","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",266,"2","2013","24",3609,3594,0,0,,,,,,,,0,0,0,0,0,,0,,0,15,0,,0,,"NA","3","3","1","1","2","1","1","1","1","1","1","500","3","NA","2","2","2","2","1","1","3","2","1","250","NA","105.44","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",270,"2","2013","15",2731,2682,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,49,,"3","3","NA","1","2","2","1","1","1","1","1","3","2000","2","NA","2","2","1","2","3","1","4","2","1","NA","NA","218.37","NA","1","3","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",271,"2","2013","11",2136,2073,0,0,,,,,,,,0,0,0,0,0,,0,,0,64,0,,0,,"3","3","NA","1","1","1","1","1","1","1","1","3","900","1","NA","2","2","2","2","4","1","4","2","1","NA","NA","180","NA","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",277,"1","2013","42",4044,4040,0,0,,,,,,,,0,0,0,0,0,,11,,0,0,0,,4,,"3","3","2","1","1","1","1","1","1","1","1","2","900","1","2","2","2","2","2","NA","1","4","2","1","NA","NA","0","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",303,"2","2013","10",3306,3297,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1000","2","NA","2","2","2","2","1","1","4","1","1","NA","NA","70","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",328,"2","2013","11",3946,3499,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,248,,199,,"3","3","3","1","1","2","1","1","2","1","1","3","1200","1","NA","2","2","1","2","4","5","3","1","1","NA","NA","40","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",340,"1","2013","19",3659,3636,0,0,,,,,,,,0,0,0,0,0,,0,,0,23,0,,0,,"NA","3","NA","1","1","2","1","1","1","1","3","3","3000","2","NA","2","2","2","2","1","2","4","2","2","NA","NA","153.5","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",342,"1","2013","11",0,-8,0,0,,,,,,,,0,0,0,0,0,,0,,0,4,0,,4,,"NA","3","NA","2","1","1","1","1","1","1","1","2","1000","2","2","2","2","2","2","1","1","2","2","1","NA","NA","66","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",363,"2","2013","12",4090,3971,0,0,,,,,,,,0,0,0,0,0,,0,,0,118,0,,0,,"NA","3","3","1","1","2","1","1","1","1","2","3","350","2","NA","2","2","2","2","4","1","2","2","2","NA","NA","191","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",405,"1","2013","17",0,-16,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16,,"3","3","NA","1","1","2","1","1","3","1","2","4","2000","3","NA","2","1","2","2","1","5","3","2","1","NA","NA","0","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",411,"1","2013","13",9909,8200,0,0,,,,,,,,0,0,0,0,0,,0,,0,126,0,,1583,,"3","3","3","1","1","1","1","1","1","1","1","3","500","3","2","2","1","2","2","1","2","5","2","1","NA","NA","290","114","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",459,"1","2013","14",6467,6451,0,0,,,,,,,,0,0,0,385,0,,0,,0,0,0,,16,,"3","3","3","1","1","1","1","1","1","1","1","3","2500","1","2","2","2","2","2","4","2","4","2","1","NA","NA","109.1","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",466,"1","2013","14",31207,30457,0,0,,,,,,,,0,0,0,0,0,,0,,0,7,0,,743,,"3","3","3","1","1","1","1","1","1","1","1","4","1600","2","NA","2","2","2","2","3","2","5","2","1","NA","NA","368","84","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",472,"1","2013","18",13426,10651,0,0,,,,,,,,0,0,0,0,0,,0,,0,2775,0,,0,,"NA","3","3","1","1","1","1","1","1","1","1","3","1500","2","NA","2","2","1","2","4","1","5","2","1","NA","NA","326.81","612","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",478,"1","2013","12",1,-7,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,7,,"3","3","NA","1","1","2","1","1","1","1","2","4","950","3","NA","2","2","2","2","4","4","2","2","1","NA","NA","65.2","NA","3","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",480,"2","2013","30",3904,3849,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,55,,"NA","3","3","2","1","1","1","1","1","1","3","5","300","2","NA","2","2","2","2","3","2","3","2","1","NA","NA","61.32","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",495,"2","2013","10",7265,6616,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,649,,"3","3","NA","2","1","2","1","1","1","2","3","5","600","2","NA","2","2","2","2","4","1","5","2","1","NA","NA","27","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",510,"2","2013","18",11108,10672,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,436,,"3","3","3","2","1","1","1","1","1","1","1","5","900","2","3","2","2","2","2","1","2","3","1","1","NA","NA","245","253","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",524,"2","2013","8",3680,3642,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,37,,"3","3","NA","1","1","2","1","1","1","1","1","3","200","1","3","2","2","2","2","1","5","5","2","1","NA","NA","74","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",538,"1","2013","8",4103,4108,0,0,,,,,,,,0,0,0,0,0,,0,,0,6,0,,-10,,"NA","3","NA","1","1","1","1","1","2","1","2","3","2000","1","NA","2","2","2","1","1","1","4","2","1","NA","NA","54.19","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",546,"1","2013","28",9767,12978,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,-3211,,"3","3","3","1","1","1","1","3","1","1","1","3","1500","2","2","2","2","1","2","4","2","2","2","1","NA","NA","248","100","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",577,"2","2013","12",3286,-202,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3488,,"NA","2","NA","2","1","2","1","1","1","1","2","5","800","3","3","2","2","2","2","4","2","4","2","1","NA","NA","298.4","285","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",605,"2","2013","17",7217,6857,0,0,,,,,,,,0,0,0,0,0,,970,,0,0,0,,360,,"3","3","3","1","1","1","3","1","1","1","1","3","NA","2","NA","2","1","2","2","1","1","2","1","1","NA","NA","174","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",612,"2","2013","36",3476,3462,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,14,,"NA","1","3","2","2","2","1","1","1","1","1","2","2000","2","2","2","2","2","2","1","1","2","2","1","NA","NA","37.3","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",630,"1","2013","18",6894,4417,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,2477,,"NA","3","3","2","1","1","1","3","1","1","1","3","1500","2","NA","2","2","2","2","1","1","4","2","1","NA","NA","50","366","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",671,"2","2013","16",3937,3926,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10,,"NA","3","NA","1","2","2","1","1","1","1","1","4","2500","2","2","2","1","2","2","3","2","6","2","1","NA","NA","145.1","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",677,"2","2013","24",8078,7962,384,384,,,,,,,,384,0,0,0,0,,0,,0,117,0,,0,,"3","3","3","1","2","1","1","1","1","1","1","3","2000","2","2","2","2","2","2","4","2","4","2","1","NA","NA","80","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",683,"1","2013","14",10935,9633,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1301,,"3","3","NA","2","1","1","1","1","1","1","1","4","500","2","NA","2","2","2","1","4","1","2","2","1","NA","NA","290","434","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",685,"2","2013","35",3937,3554,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,383,,"NA","3","3","1","1","1","1","1","1","1","1","3","150","2","3","2","2","2","2","4","2","5","2","1","NA","NA","210.39","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",711,"2","2013","21",3855,3846,0,0,,,,,,,,0,0,0,208,0,,0,,0,0,0,,9,,"NA","3","3","1","1","1","1","1","1","1","1","3","1500","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","262","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",715,"2","2013","21",0,-45,0,0,,,,,,,,0,0,0,0,0,,0,,0,19,0,,26,,"NA","3","NA","1","2","1","1","1","1","2","1","1","400","2","2","2","2","2","2","1","2","3","1","1","NA","NA","114.17","NA","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",717,"1","2013","21",9451,7931,0,0,,,,,,,,0,0,0,0,0,,13,,0,37,0,,1483,,"3","3","NA","1","1","1","1","1","1","1","1","4","3000","2","2","2","2","2","2","2","1","4","2","1","NA","NA","248","316","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",719,"2","2013","7",5963,5842,0,0,,,,,,,,0,0,0,0,0,,0,,0,121,0,,0,,"NA","3","3","2","1","1","1","1","1","1","1","3","250","2","2","2","2","2","2","4","1","4","2","1","NA","NA","418.86","76","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",723,"1","2013","19",6593,6587,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,2,,4,,"3","3","3","1","1","1","1","1","1","1","1","3","2000","2","1","2","2","2","2","4","1","5","1","1","NA","NA","146.12","160","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",731,"2","2013","25",6359,6311,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,48,,"NA","3","NA","2","1","2","1","1","1","1","3","3","NA","2","3","2","2","2","2","1","1","3","2","1","NA","NA","195.15","302","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",735,"2","2013","8",4072,4071,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,,"NA","3","3","1","1","1","1","1","2","1","1","3","600","1","NA","2","2","2","2","3","1","3","2","1","NA","NA","158.5","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",745,"2","2013","22",3401,3386,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,15,,"NA","3","3","1","1","1","1","1","1","1","1","4","150","2","3","2","2","2","2","4","1","3","2","1","NA","NA","200","252","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",778,"1","2013","29",3943,2839,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,1104,,"3","3","3","1","1","1","1","1","1","1","1","3","1600","2","NA","2","2","2","2","4","2","3","2","1","NA","NA","222","249","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",828,"1","2013","10",2795,2785,0,0,,,,,,,,0,0,0,0,0,,0,,0,4,0,,6,,"NA","3","NA","1","1","1","1","1","1","1","3","5","1100","2","NA","2","2","2","2","4","1","2","2","2","NA","NA","164","NA","3","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",862,"1","2013","11",8452,6772,0,0,,,,,,,,0,0,0,0,0,,0,,0,18,720,,942,,"NA","3","NA","1","1","1","1","1","1","1","3","5","600","2","2","2","2","2","2","4","2","6","2","1","NA","NA","244.98","97","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",868,"2","2013","18",3871,3864,0,0,,,,,,,,0,0,0,0,0,,1,,0,0,0,,7,,"NA","3","NA","2","1","2","1","1","1","1","3","3","1500","2","NA","2","2","2","2","4","1","6","2","1","NA","NA","131","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",871,"1","2013","25",5185,5179,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6,,"NA","3","3","1","1","2","1","1","3","1","3","2","800","2","NA","2","2","2","1","4","1","2","2","1","NA","NA","63.7","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",887,"1","2013","14",3682,3673,0,0,,,,,,,,0,0,0,0,0,,33,,0,0,0,,9,,"NA","3","NA","1","1","2","1","1","1","3","1","2","1800","2","NA","2","1","2","2","4","1","2","2","1","NA","NA","131","90","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",896,"1","2013","27",12001,13288,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,-1287,,"NA","3","3","1","1","2","1","1","1","1","1","3","1500","2","2","1","2","2","2","3","1","4","2","1","NA","NA","57","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",954,"2","2013","15",5063,4652,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,411,,"NA","3","NA","1","1","1","1","1","1","1","1","3","3000","2","NA","2","2","2","2","2","2","6","2","1","NA","NA","205.37","192","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","EE",957,"2","2013","16",10716,9205,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1511,,"3","3","3","1","1","1","1","1","1","1","1","5","1200","2","NA","2","2","2","2","4","2","3","2","1","NA","NA","53","400","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
