an_sondaj,tara,id_gospodarie,venit_total,venit_munca,numar_membri,marime_echivalenta,numar_camere,grad_urbanizare
2013,EE,7,0,-32.0,5.0,1.0,2,4.0
2013,EE,24,3324,3320.0,6.0,1.0,2,1.0
2013,EE,49,7805,7488.0,3.0,1.0,1,1.0
2013,EE,52,16688,15222.0,6.0,1.0,1,4.0
2013,EE,79,74,57.0,2.0,1.0,2,1.0
2013,EE,94,5579,5565.0,4.0,1.0,2,4.0
2013,EE,105,5757,5732.0,4.0,1.0,2,3.0
2013,EE,174,21154,19765.0,3.0,1.0,2,4.0
2013,EE,203,3586,4122.0,2.0,1.0,1,4.0
2013,EE,216,6536,5970.0,1.0,1.0,2,4.0
2013,EE,233,7109,4043.0,2.0,1.0,1,3.0
2013,EE,241,4000,3964.0,5.0,1.0,2,1.0
2013,EE,246,3599,3588.0,2.0,1.0,1,4.0
2013,EE,262,3410,3297.0,3.0,1.0,2,4.0
2013,EE,266,3609,3594.0,3.0,1.0,1,1.0
2013,EE,270,2731,2682.0,4.0,1.0,1,3.0
2013,EE,271,2136,2073.0,4.0,1.0,1,4.0
2013,EE,277,4044,4040.0,4.0,1.0,1,4.0
2013,EE,303,3306,3297.0,4.0,1.0,1,1.0
2013,EE,328,3946,3499.0,3.0,1.0,1,4.0
2013,EE,340,3659,3636.0,4.0,1.0,1,1.0
2013,EE,342,0,-8.0,2.0,1.0,2,1.0
2013,EE,363,4090,3971.0,2.0,1.0,1,4.0
2013,EE,405,0,-16.0,3.0,1.0,1,1.0
2013,EE,411,9909,8200.0,5.0,1.0,1,1.0
2013,EE,459,6467,6451.0,4.0,1.0,1,4.0
2013,EE,466,31207,30457.0,5.0,1.0,1,3.0
2013,EE,472,13426,10651.0,5.0,1.0,1,4.0
2013,EE,478,1,-7.0,2.0,1.0,1,4.0
2013,EE,480,3904,3849.0,3.0,1.0,2,3.0
2013,EE,495,7265,6616.0,5.0,1.0,2,4.0
2013,EE,510,11108,10672.0,3.0,1.0,2,1.0
