an,Media,Mediana,Std,Nr_gospodarii,Crestere_%,Raport_Media_Mediana
2004,4954.0,3127.0,6288.0,3993,,1.584266069715382
2005,6096.0,4045.0,6895.0,4169,23.0520791279774,1.5070457354758962
2006,7147.0,4948.0,7402.0,5631,17.240813648293972,1.444421988682296
2007,8554.0,5826.0,9245.0,5146,19.686581782566105,1.468245794713354
2008,10037.0,7273.0,9421.0,4744,17.336918400748182,1.3800357486594252
2009,11416.0,8132.0,10838.0,4965,13.73916508917008,1.4038366945400886
2010,10711.0,7694.0,9964.0,4972,-6.175543097407143,1.3921237327787888
2011,10399.0,7370.0,10574.0,4993,-2.912893287274765,1.4109905020352782
2012,11163.0,7921.0,11206.0,5433,7.346860275026446,1.4092917560914027
2013,12377.0,8274.0,12940.0,5775,10.875212756427487,1.4958907420836356
